dataset,beam_width,k,avg_edges,recall,seen,expanded
mnist,1,1,72.97745,0.001,47.002,2.981
mnist,1,10,72.97745,0.0010999999999999,47.002,2.981
mnist,1,100,72.97745,0.00079,47.002,2.981
mnist,2,1,72.97745,0.002,110.731,4.205
mnist,2,10,72.97745,0.0015,110.731,4.205
mnist,2,100,72.97745,0.00099,110.731,4.205
mnist,4,1,72.97745,0.004,238.911,6.559
mnist,4,10,72.97745,0.0026,238.911,6.559
mnist,4,100,72.97745,0.00136,238.911,6.559
mnist,8,1,72.97745,0.017,1032.51,11.443
mnist,8,10,72.97745,0.0149,1032.51,11.443
mnist,8,100,72.97745,0.00293,1032.51,11.443
mnist,16,1,72.97745,0.089,5297.21,20.844
mnist,16,10,72.97745,0.0891,5297.21,20.844
mnist,16,100,72.97745,0.0156,5297.21,20.844
mnist,32,1,72.97745,0.427,25552.647,45.963
mnist,32,10,72.97745,0.4265,25552.647,45.963
mnist,32,100,72.97745,0.13734,25552.647,45.963
mnist,64,1,72.97745,0.975,58502.912,103.478
mnist,64,10,72.97745,0.9753,58502.912,103.478
mnist,64,100,72.97745,0.6241,58502.912,103.478
mnist,100,1,72.97745,1.0,60000.0,141.216
mnist,100,10,72.97745,1.0,60000.0,141.216
mnist,100,100,72.97745,1.0,60000.0,141.216
mnist,128,1,72.97745,1.0,60000.0,169.13
mnist,128,10,72.97745,1.0,60000.0,169.13
mnist,128,100,72.97745,1.0,60000.0,169.13
mnist,256,1,72.97745,1.0,60000.0,296.769
mnist,256,10,72.97745,1.0,60000.0,296.769
mnist,256,100,72.97745,1.0,60000.0,296.769
coco_i2i,1,1,66.99022835806403,0.0,52.008,3.138
coco_i2i,1,10,66.99022835806403,0.0005,52.008,3.138
coco_i2i,1,100,66.99022835806403,0.0005,52.008,3.138
coco_i2i,2,1,66.99022835806403,0.001,170.126,4.344
coco_i2i,2,10,66.99022835806403,0.0009,170.126,4.344
coco_i2i,2,100,66.99022835806403,0.00063,170.126,4.344
coco_i2i,4,1,66.99022835806403,0.01,1197.388,6.707
coco_i2i,4,10,66.99022835806403,0.0049,1197.388,6.707
coco_i2i,4,100,66.99022835806403,0.00116,1197.388,6.707
coco_i2i,8,1,66.99022835806403,0.046,5286.532,11.568
coco_i2i,8,10,66.99022835806403,0.0382,5286.532,11.568
coco_i2i,8,100,66.99022835806403,0.004739999999999999,5286.532,11.568
coco_i2i,16,1,66.99022835806403,0.144,16273.19,20.62
coco_i2i,16,10,66.99022835806403,0.1444,16273.19,20.62
coco_i2i,16,100,66.99022835806403,0.023969999999999998,16273.19,20.62
coco_i2i,32,1,66.99022835806403,0.505,57138.32,46.22
coco_i2i,32,10,66.99022835806403,0.5049,57138.32,46.22
coco_i2i,32,100,66.99022835806403,0.16188,57138.32,46.22
coco_i2i,64,1,66.99022835806403,0.994,112607.78,101.625
coco_i2i,64,10,66.99022835806403,0.994,112607.78,101.625
coco_i2i,64,100,66.99022835806403,0.63617,112607.78,101.625
coco_i2i,100,1,66.99022835806403,1.0,113287.0,138.02
coco_i2i,100,10,66.99022835806403,1.0,113287.0,138.02
coco_i2i,100,100,66.99022835806403,1.0,113287.0,138.02
coco_i2i,128,1,66.99022835806403,1.0,113287.0,165.975
coco_i2i,128,10,66.99022835806403,1.0,113287.0,165.975
coco_i2i,128,100,66.99022835806403,1.0,113287.0,165.975
coco_i2i,256,1,66.99022835806403,1.0,113287.0,293.737
coco_i2i,256,10,66.99022835806403,1.0,113287.0,293.737
coco_i2i,256,100,66.99022835806403,1.0,113287.0,293.737
