dataset,beam_width,avg_edges_1.0,avg_edges_0.99,avg_edges_0.98,avg_edges_0.97,avg_edges_0.96,avg_edges_0.95,avg_edges_0.94,avg_edges_0.93,avg_edges_0.92,avg_edges_0.91,train_recall_1.0,train_seen_1.0,train_expanded_1.0,train_recall_0.99,train_seen_0.99,train_expanded_0.99,train_recall_0.98,train_seen_0.98,train_expanded_0.98,train_recall_0.97,train_seen_0.97,train_expanded_0.97,train_recall_0.96,train_seen_0.96,train_expanded_0.96,train_recall_0.95,train_seen_0.95,train_expanded_0.95,train_recall_0.94,train_seen_0.94,train_expanded_0.94,train_recall_0.93,train_seen_0.93,train_expanded_0.93,train_recall_0.92,train_seen_0.92,train_expanded_0.92,train_recall_0.91,train_seen_0.91,train_expanded_0.91,avg_edges_0.9975,avg_edges_0.995,avg_edges_0.9925,avg_edges_0.9875,avg_edges_0.985,avg_edges_0.9825,avg_edges_0.9775,avg_edges_0.975,avg_edges_0.9725,avg_edges_0.9675,avg_edges_0.965,avg_edges_0.9625,avg_edges_0.9575,avg_edges_0.955,avg_edges_0.9525,avg_edges_0.9475,avg_edges_0.945,avg_edges_0.9425,avg_edges_0.9375,avg_edges_0.935,avg_edges_0.9325,avg_edges_0.9275,avg_edges_0.925,avg_edges_0.9225,avg_edges_0.9175,avg_edges_0.915,avg_edges_0.9125,avg_edges_0.9075,avg_edges_0.905,avg_edges_0.9025,train_recall_0.9975,train_seen_0.9975,train_expanded_0.9975,train_recall_0.995,train_seen_0.995,train_expanded_0.995,train_recall_0.9925,train_seen_0.9925,train_expanded_0.9925,train_recall_0.9875,train_seen_0.9875,train_expanded_0.9875,train_recall_0.985,train_seen_0.985,train_expanded_0.985,train_recall_0.9825,train_seen_0.9825,train_expanded_0.9825,train_recall_0.9775,train_seen_0.9775,train_expanded_0.9775,train_recall_0.975,train_seen_0.975,train_expanded_0.975,train_recall_0.9725,train_seen_0.9725,train_expanded_0.9725,train_recall_0.9675,train_seen_0.9675,train_expanded_0.9675,train_recall_0.965,train_seen_0.965,train_expanded_0.965,train_recall_0.9625,train_seen_0.9625,train_expanded_0.9625,train_recall_0.9575,train_seen_0.9575,train_expanded_0.9575,train_recall_0.955,train_seen_0.955,train_expanded_0.955,train_recall_0.9525,train_seen_0.9525,train_expanded_0.9525,train_recall_0.9475,train_seen_0.9475,train_expanded_0.9475,train_recall_0.945,train_seen_0.945,train_expanded_0.945,train_recall_0.9425,train_seen_0.9425,train_expanded_0.9425,train_recall_0.9375,train_seen_0.9375,train_expanded_0.9375,train_recall_0.935,train_seen_0.935,train_expanded_0.935,train_recall_0.9325,train_seen_0.9325,train_expanded_0.9325,train_recall_0.9275,train_seen_0.9275,train_expanded_0.9275,train_recall_0.925,train_seen_0.925,train_expanded_0.925,train_recall_0.9225,train_seen_0.9225,train_expanded_0.9225,train_recall_0.9175,train_seen_0.9175,train_expanded_0.9175,train_recall_0.915,train_seen_0.915,train_expanded_0.915,train_recall_0.9125,train_seen_0.9125,train_expanded_0.9125,train_recall_0.9075,train_seen_0.9075,train_expanded_0.9075,train_recall_0.905,train_seen_0.905,train_expanded_0.905,train_recall_0.9025,train_seen_0.9025,train_expanded_0.9025,k,avg_edges_0.9,train_recall_0.9,train_seen_0.9,train_expanded_0.9,avg_edges_0.895,train_recall_0.895,train_seen_0.895,train_expanded_0.895,avg_edges_0.89,train_recall_0.89,train_seen_0.89,train_expanded_0.89,avg_edges_0.885,train_recall_0.885,train_seen_0.885,train_expanded_0.885,avg_edges_0.88,train_recall_0.88,train_seen_0.88,train_expanded_0.88,avg_edges_0.875,train_recall_0.875,train_seen_0.875,train_expanded_0.875,avg_edges_0.87,train_recall_0.87,train_seen_0.87,train_expanded_0.87,avg_edges_0.865,train_recall_0.865,train_seen_0.865,train_expanded_0.865,avg_edges_0.86,train_recall_0.86,train_seen_0.86,train_expanded_0.86,avg_edges_0.855,train_recall_0.855,train_seen_0.855,train_expanded_0.855,avg_edges_0.85,train_recall_0.85,train_seen_0.85,train_expanded_0.85,avg_edges_0.845,train_recall_0.845,train_seen_0.845,train_expanded_0.845,avg_edges_0.84,train_recall_0.84,train_seen_0.84,train_expanded_0.84,avg_edges_0.835,train_recall_0.835,train_seen_0.835,train_expanded_0.835,avg_edges_0.83,train_recall_0.83,train_seen_0.83,train_expanded_0.83,avg_edges_0.825,train_recall_0.825,train_seen_0.825,train_expanded_0.825,avg_edges_0.82,train_recall_0.82,train_seen_0.82,train_expanded_0.82,avg_edges_0.815,train_recall_0.815,train_seen_0.815,train_expanded_0.815,avg_edges_0.81,train_recall_0.81,train_seen_0.81,train_expanded_0.81,avg_edges_0.805,train_recall_0.805,train_seen_0.805,train_expanded_0.805
fashion_mnist,1,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,1.0,182.71,9.15,0.28,89.9,9.54,0.16,74.3,9.03,0.08,67.15,8.82,0.05,58.7,8.17,0.05,56.45,7.76,0.06,54.67,7.72,0.05,53.62,7.72,0.03,52.19,7.5,0.02,50.08,7.23,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.38,100.18,9.52,,,,,,,0.24,79.46,9.12,,,,,,,0.11,69.47,8.82,,,,,,,0.06,62.3,8.57,,,,,,,0.04,56.75,7.62,,,,,,,0.05,55.89,7.73,,,,,,,0.06,53.91,7.74,,,,,,,0.05,53.03,7.67,,,,,,,0.02,51.33,7.43,,,,,,,0.0,48.27,6.74,,,,1.0,2.7533,0.0,47.7,6.69,2.713983333333333,0.01,41.83,5.96,2.675283333333333,0.01,39.88,5.74,2.6406666666666667,0.01,39.82,5.78,2.6070166666666665,0.01,39.46,5.71,2.5755666666666666,0.0,38.67,5.62,2.5445333333333333,0.0,38.36,5.6,2.5154,0.0,38.05,5.6,2.48745,0.0,37.9,5.58,2.461333333333333,0.0,37.61,5.66,2.435666666666666,0.0,37.27,5.6,2.411783333333333,0.0,36.74,5.54,2.387566666666667,0.0,35.9,5.51,2.364183333333333,0.0,35.8,5.5,2.34165,0.0,35.13,5.26,2.320583333333333,0.0,35.06,5.26,2.299383333333333,0.0,34.61,5.18,2.2788,0.0,24.04,4.25,2.2593,0.0,22.91,4.0,2.2408,0.0,22.73,3.98
fashion_mnist,1,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,0.0999999999999999,182.71,9.15,0.0529999999999999,89.9,9.54,0.0409999999999999,74.3,9.03,0.034,67.15,8.82,0.03,58.7,8.17,0.024,56.45,7.76,0.022,54.67,7.72,0.022,53.62,7.72,0.017,52.19,7.5,0.015,50.08,7.23,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.0629999999999999,100.18,9.52,,,,,,,0.0519999999999999,79.46,9.12,,,,,,,0.038,69.47,8.82,,,,,,,0.032,62.3,8.57,,,,,,,0.024,56.75,7.62,,,,,,,0.023,55.89,7.73,,,,,,,0.023,53.91,7.74,,,,,,,0.021,53.03,7.67,,,,,,,0.015,51.33,7.43,,,,,,,0.014,48.27,6.74,,,,10.0,2.7533,0.013,47.7,6.69,2.713983333333333,0.012,41.83,5.96,2.675283333333333,0.011,39.88,5.74,2.6406666666666667,0.012,39.82,5.78,2.6070166666666665,0.011,39.46,5.71,2.5755666666666666,0.009,38.67,5.62,2.5445333333333333,0.009,38.36,5.6,2.5154,0.01,38.05,5.6,2.48745,0.01,37.9,5.58,2.461333333333333,0.01,37.61,5.66,2.435666666666666,0.01,37.27,5.6,2.411783333333333,0.008,36.74,5.54,2.387566666666667,0.007,35.9,5.51,2.364183333333333,0.007,35.8,5.5,2.34165,0.007,35.13,5.26,2.320583333333333,0.007,35.06,5.26,2.299383333333333,0.007,34.61,5.18,2.2788,0.006,24.04,4.25,2.2593,0.006,22.91,4.0,2.2408,0.006,22.73,3.98
fashion_mnist,1,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,0.0099999999999999,182.71,9.15,0.0081,89.9,9.54,0.0064,74.3,9.03,0.0059,67.15,8.82,0.0053,58.7,8.17,0.0043,56.45,7.76,0.0039,54.67,7.72,0.0037,53.62,7.72,0.0034,52.19,7.5,0.0032,50.08,7.23,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.0088999999999999,100.18,9.52,,,,,,,0.0077,79.46,9.12,,,,,,,0.0061,69.47,8.82,,,,,,,0.0056,62.3,8.57,,,,,,,0.0043,56.75,7.62,,,,,,,0.004,55.89,7.73,,,,,,,0.0039,53.91,7.74,,,,,,,0.0036,53.03,7.67,,,,,,,0.0032,51.33,7.43,,,,,,,0.003,48.27,6.74,,,,100.0,2.7533,0.0029,47.7,6.69,2.713983333333333,0.0027,41.83,5.96,2.675283333333333,0.0025,39.88,5.74,2.6406666666666667,0.0025,39.82,5.78,2.6070166666666665,0.0025,39.46,5.71,2.5755666666666666,0.0022,38.67,5.62,2.5445333333333333,0.0022,38.36,5.6,2.5154,0.0022,38.05,5.6,2.48745,0.0023,37.9,5.58,2.461333333333333,0.0023,37.61,5.66,2.435666666666666,0.0023,37.27,5.6,2.411783333333333,0.0021,36.74,5.54,2.387566666666667,0.0019,35.9,5.51,2.364183333333333,0.0019,35.8,5.5,2.34165,0.0017,35.13,5.26,2.320583333333333,0.0017,35.06,5.26,2.299383333333333,0.0015,34.61,5.18,2.2788,0.0012,24.04,4.25,2.2593,0.0013,22.91,4.0,2.2408,0.0014,22.73,3.98
fashion_mnist,2,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,1.0,172.54,11.15,0.45,96.28,13.79,0.37,85.44,13.84,0.31,79.19,14.35,0.2,72.2,14.68,0.13,68.09,14.32,0.09,66.24,14.54,0.05,53.41,13.22,0.04,52.04,13.3,0.07,53.43,13.3,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.59,109.81,13.5,,,,,,,0.43,92.47,14.04,,,,,,,0.33,81.82,13.81,,,,,,,0.25,75.58,14.61,,,,,,,0.13,68.97,14.3,,,,,,,0.09,66.26,14.39,,,,,,,0.08,60.66,13.65,,,,,,,0.05,53.23,13.28,,,,,,,0.07,54.77,13.11,,,,,,,0.04,51.94,13.42,,,,1.0,2.7533,0.05,50.27,13.26,2.713983333333333,0.04,49.6,12.96,2.675283333333333,0.03,46.04,12.42,2.6406666666666667,0.03,45.37,12.37,2.6070166666666665,0.03,43.03,11.44,2.5755666666666666,0.03,40.55,10.83,2.5445333333333333,0.03,40.37,10.85,2.5154,0.03,39.41,10.78,2.48745,0.02,38.83,10.7,2.461333333333333,0.02,38.44,10.68,2.435666666666666,0.02,37.99,10.62,2.411783333333333,0.02,37.87,10.6,2.387566666666667,0.02,37.08,10.52,2.364183333333333,0.02,36.75,10.52,2.34165,0.02,36.07,10.42,2.320583333333333,0.02,35.98,10.45,2.299383333333333,0.0,38.27,10.73,2.2788,0.0,37.65,10.59,2.2593,0.0,36.92,10.41,2.2408,0.0,35.37,10.75
fashion_mnist,2,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,0.1999999999999999,172.54,11.15,0.1369999999999999,96.28,13.79,0.1249999999999999,85.44,13.84,0.103,79.19,14.35,0.0829999999999999,72.2,14.68,0.067,68.09,14.32,0.0579999999999999,66.24,14.54,0.042,53.41,13.22,0.04,52.04,13.3,0.051,53.43,13.3,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.1689999999999999,109.81,13.5,,,,,,,0.1399999999999999,92.47,14.04,,,,,,,0.1159999999999999,81.82,13.81,,,,,,,0.0899999999999999,75.58,14.61,,,,,,,0.0649999999999999,68.97,14.3,,,,,,,0.0599999999999999,66.26,14.39,,,,,,,0.046,60.66,13.65,,,,,,,0.043,53.23,13.28,,,,,,,0.051,54.77,13.11,,,,,,,0.04,51.94,13.42,,,,10.0,2.7533,0.037,50.27,13.26,2.713983333333333,0.027,49.6,12.96,2.675283333333333,0.0209999999999999,46.04,12.42,2.6406666666666667,0.022,45.37,12.37,2.6070166666666665,0.023,43.03,11.44,2.5755666666666666,0.015,40.55,10.83,2.5445333333333333,0.015,40.37,10.85,2.5154,0.015,39.41,10.78,2.48745,0.013,38.83,10.7,2.461333333333333,0.013,38.44,10.68,2.435666666666666,0.013,37.99,10.62,2.411783333333333,0.013,37.87,10.6,2.387566666666667,0.012,37.08,10.52,2.364183333333333,0.01,36.75,10.52,2.34165,0.008,36.07,10.42,2.320583333333333,0.008,35.98,10.45,2.299383333333333,0.008,38.27,10.73,2.2788,0.008,37.65,10.59,2.2593,0.008,36.92,10.41,2.2408,0.0069999999999999,35.37,10.75
fashion_mnist,2,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,0.0199999999999999,172.54,11.15,0.0180999999999999,96.28,13.79,0.0180999999999999,85.44,13.84,0.0146999999999999,79.19,14.35,0.0122,72.2,14.68,0.0104,68.09,14.32,0.0098,66.24,14.54,0.0084,53.41,13.22,0.0073,52.04,13.3,0.0074,53.43,13.3,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.0195,109.81,13.5,,,,,,,0.0187999999999999,92.47,14.04,,,,,,,0.0175,81.82,13.81,,,,,,,0.0131,75.58,14.61,,,,,,,0.0105,68.97,14.3,,,,,,,0.0101,66.26,14.39,,,,,,,0.0084,60.66,13.65,,,,,,,0.0083,53.23,13.28,,,,,,,0.0074,54.77,13.11,,,,,,,0.0067,51.94,13.42,,,,100.0,2.7533,0.0065,50.27,13.26,2.713983333333333,0.005,49.6,12.96,2.675283333333333,0.0045,46.04,12.42,2.6406666666666667,0.0047,45.37,12.37,2.6070166666666665,0.0043,43.03,11.44,2.5755666666666666,0.003,40.55,10.83,2.5445333333333333,0.003,40.37,10.85,2.5154,0.0029,39.41,10.78,2.48745,0.0025,38.83,10.7,2.461333333333333,0.0025,38.44,10.68,2.435666666666666,0.0025,37.99,10.62,2.411783333333333,0.0024,37.87,10.6,2.387566666666667,0.0024,37.08,10.52,2.364183333333333,0.0024,36.75,10.52,2.34165,0.0022,36.07,10.42,2.320583333333333,0.0022,35.98,10.45,2.299383333333333,0.0032,38.27,10.73,2.2788,0.003,37.65,10.59,2.2593,0.003,36.92,10.41,2.2408,0.0031,35.37,10.75
fashion_mnist,4,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,1.0,221.92,12.32,0.53,127.98,17.15,0.4,117.13,18.06,0.29,105.13,18.61,0.27,99.99,20.0,0.15,83.92,18.43,0.14,73.5,17.35,0.12,70.57,18.04,0.07,63.73,17.17,0.05,60.86,17.04,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.65,135.66,16.31,,,,,,,0.48,120.76,17.61,,,,,,,0.35,111.52,18.38,,,,,,,0.27,98.92,19.46,,,,,,,0.2,91.31,19.55,,,,,,,0.14,81.52,18.39,,,,,,,0.13,70.92,17.28,,,,,,,0.07,63.92,17.0,,,,,,,0.06,61.6,16.82,,,,,,,0.05,59.83,17.28,,,,1.0,2.7533,0.04,55.18,16.68,2.713983333333333,0.03,50.74,16.02,2.675283333333333,0.01,49.23,15.95,2.6406666666666667,0.01,50.39,16.46,2.6070166666666665,0.01,45.92,15.73,2.5755666666666666,0.01,45.48,15.67,2.5445333333333333,0.01,43.41,15.38,2.5154,0.01,40.72,14.85,2.48745,0.01,39.81,14.71,2.461333333333333,0.01,38.54,14.55,2.435666666666666,0.01,38.19,14.52,2.411783333333333,0.01,35.82,14.59,2.387566666666667,0.01,34.63,14.41,2.364183333333333,0.0,32.61,13.86,2.34165,0.0,32.38,13.85,2.320583333333333,0.0,32.26,13.84,2.299383333333333,0.0,32.09,13.84,2.2788,0.0,31.0,13.51,2.2593,0.0,30.85,13.51,2.2408,0.0,30.22,13.82
fashion_mnist,4,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,0.3999999999999999,221.92,12.32,0.3029999999999999,127.98,17.15,0.2479999999999999,117.13,18.06,0.2149999999999999,105.13,18.61,0.1859999999999999,99.99,20.0,0.1159999999999999,83.92,18.43,0.106,73.5,17.35,0.093,70.57,18.04,0.078,63.73,17.17,0.066,60.86,17.04,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.3409999999999999,135.66,16.31,,,,,,,0.2689999999999999,120.76,17.61,,,,,,,0.254,111.52,18.38,,,,,,,0.1879999999999999,98.92,19.46,,,,,,,0.149,91.31,19.55,,,,,,,0.122,81.52,18.39,,,,,,,0.1,70.92,17.28,,,,,,,0.073,63.92,17.0,,,,,,,0.071,61.6,16.82,,,,,,,0.059,59.83,17.28,,,,10.0,2.7533,0.048,55.18,16.68,2.713983333333333,0.044,50.74,16.02,2.675283333333333,0.031,49.23,15.95,2.6406666666666667,0.0279999999999999,50.39,16.46,2.6070166666666665,0.031,45.92,15.73,2.5755666666666666,0.031,45.48,15.67,2.5445333333333333,0.029,43.41,15.38,2.5154,0.0279999999999999,40.72,14.85,2.48745,0.0279999999999999,39.81,14.71,2.461333333333333,0.0289999999999999,38.54,14.55,2.435666666666666,0.0289999999999999,38.19,14.52,2.411783333333333,0.0289999999999999,35.82,14.59,2.387566666666667,0.0289999999999999,34.63,14.41,2.364183333333333,0.0249999999999999,32.61,13.86,2.34165,0.024,32.38,13.85,2.320583333333333,0.024,32.26,13.84,2.299383333333333,0.024,32.09,13.84,2.2788,0.017,31.0,13.51,2.2593,0.015,30.85,13.51,2.2408,0.015,30.22,13.82
fashion_mnist,4,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,0.0399999999999999,221.92,12.32,0.0375999999999999,127.98,17.15,0.0332,117.13,18.06,0.0296,105.13,18.61,0.0276,99.99,20.0,0.0197,83.92,18.43,0.0172,73.5,17.35,0.0171,70.57,18.04,0.0153,63.73,17.17,0.013,60.86,17.04,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.0388,135.66,16.31,,,,,,,0.0324,120.76,17.61,,,,,,,0.0336,111.52,18.38,,,,,,,0.0279,98.92,19.46,,,,,,,0.0236,91.31,19.55,,,,,,,0.0193,81.52,18.39,,,,,,,0.0178,70.92,17.28,,,,,,,0.0147,63.92,17.0,,,,,,,0.0141,61.6,16.82,,,,,,,0.0124,59.83,17.28,,,,100.0,2.7533,0.0102,55.18,16.68,2.713983333333333,0.0098999999999999,50.74,16.02,2.675283333333333,0.0097,49.23,15.95,2.6406666666666667,0.0094,50.39,16.46,2.6070166666666665,0.0082,45.92,15.73,2.5755666666666666,0.0082,45.48,15.67,2.5445333333333333,0.0078,43.41,15.38,2.5154,0.0072,40.72,14.85,2.48745,0.0068,39.81,14.71,2.461333333333333,0.0068,38.54,14.55,2.435666666666666,0.0068,38.19,14.52,2.411783333333333,0.0063,35.82,14.59,2.387566666666667,0.0063,34.63,14.41,2.364183333333333,0.0054,32.61,13.86,2.34165,0.0054,32.38,13.85,2.320583333333333,0.0054,32.26,13.84,2.299383333333333,0.0054,32.09,13.84,2.2788,0.005,31.0,13.51,2.2593,0.005,30.85,13.51,2.2408,0.005,30.22,13.82
fashion_mnist,8,,13.55155,4.864416666666667,4.167866666666667,3.7856666666666654,3.5279666666666665,3.332516666666667,3.174983333333333,3.0466,2.9353666666666665,2.8396833333333333,1.0,254.39,17.46,0.66,162.97,24.41,0.52,144.88,26.1,0.47,146.01,27.88,0.37,140.43,28.18,0.32,131.55,29.3,0.24,126.07,29.98,0.22,126.8,30.83,0.18,122.13,30.59,0.15,119.29,30.35,,5.60565,,,4.450816666666666,,,3.9529666666666654,,,3.6454166666666654,,,3.4248333333333334,,,3.2506833333333334,,,3.108966666666667,,,2.98955,,,2.885333333333333,,,2.7953833333333336,,,,,0.75,174.29,23.32,,,,,,,0.57,151.77,24.91,,,,,,,0.46,145.59,27.31,,,,,,,0.43,144.19,28.15,,,,,,,0.36,132.77,28.15,,,,,,,0.28,129.21,29.8,,,,,,,0.24,129.13,30.91,,,,,,,0.21,122.7,30.31,,,,,,,0.15,122.35,30.88,,,,,,,0.13,115.48,29.73,,,,1.0,2.7533,0.13,116.2,30.12,2.713983333333333,0.13,114.98,30.1,2.675283333333333,0.13,115.86,30.27,2.6406666666666667,0.13,113.06,30.23,2.6070166666666665,0.11,112.76,30.67,2.5755666666666666,0.11,111.25,30.85,2.5445333333333333,0.11,108.65,30.51,2.5154,0.11,107.18,30.24,2.48745,0.1,106.94,30.24,2.461333333333333,0.11,105.94,30.74,2.435666666666666,0.11,105.69,31.19,2.411783333333333,0.09,101.92,30.86,2.387566666666667,0.08,101.66,31.02,2.364183333333333,0.09,98.47,30.04,2.34165,0.09,95.69,29.44,2.320583333333333,0.1,93.81,29.32,2.299383333333333,0.09,89.78,27.78,2.2788,0.08,90.93,29.39,2.2593,0.07,88.94,29.24,2.2408,0.07,86.96,29.54
