dataset,metric,alpha,method,dimensions,points computed,total points,coverage,mean out degree,median out degree,median in degree,min out degree,max out degree,min in degree,max in degree
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,90.0,3.87,3.0,4.0,1,21,1,104
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,90.5,3.96,4.0,4.0,1,21,1,112
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,91.0,4.06,4.0,4.0,1,22,1,117
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,91.5,4.16,4.0,4.0,1,23,1,120
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,92.0,4.27,4.0,4.0,1,25,1,129
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,92.5,4.39,4.0,4.0,1,25,1,142
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,93.0,4.52,4.0,4.0,1,25,1,150
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,93.5,4.66,4.0,4.0,1,25,1,157
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,94.0,4.81,4.0,5.0,1,25,1,170
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,94.5,4.98,5.0,5.0,1,26,1,184
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,95.0,5.17,5.0,5.0,1,26,1,201
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,95.5,5.38,5.0,5.0,1,28,1,222
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,96.0,5.62,5.0,5.0,1,29,1,243
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,96.5,5.9,5.0,6.0,1,29,1,259
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,97.0,6.22,6.0,6.0,1,29,1,283
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,97.5,6.62,6.0,6.0,1,29,1,307
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,98.0,7.11,7.0,7.0,1,30,1,347
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,98.5,7.74,7.0,7.0,1,31,1,395
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,99.0,8.65,8.0,8.0,1,32,1,466
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,99.5,10.14,9.0,9.0,1,32,1,563
vamana-mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,100.0,15.22,14.0,14.0,1,32,1,846
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,90.0,2.92,2.0,3.0,1,25,1,249
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,90.5,2.97,2.0,3.0,1,25,1,258
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,91.0,3.01,2.0,3.0,1,25,1,265
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,91.5,3.07,2.0,3.0,1,25,1,275
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,92.0,3.12,3.0,3.0,1,27,1,294
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,92.5,3.18,3.0,3.0,1,27,1,304
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,93.0,3.24,3.0,3.0,1,27,1,315
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,93.5,3.31,3.0,3.0,1,27,1,328
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,94.0,3.38,3.0,3.0,1,27,1,351
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,94.5,3.46,3.0,3.0,1,30,1,363
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,95.0,3.55,3.0,3.0,1,32,1,385
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,95.5,3.65,3.0,3.0,1,32,1,403
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,96.0,3.75,3.0,4.0,1,32,1,429
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,96.5,3.88,3.0,4.0,1,32,1,453
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,97.0,4.03,3.0,4.0,1,32,1,467
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,97.5,4.21,3.0,4.0,1,32,1,495
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,98.0,4.43,4.0,4.0,1,32,1,526
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,98.5,4.72,4.0,4.0,1,32,1,570
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,99.0,5.15,4.0,5.0,1,32,1,617
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,99.5,5.88,5.0,5.0,1,32,1,672
vamana-fashion_mnist-R32,euclidean,1.0,robust-prune,784,60000,60000,100.0,11.18,10.0,10.0,1,32,1,994
