dataset,metric,alpha,method,dimensions,points computed,total points,coverage,mean out degree,median out degree,median in degree,min out degree,max out degree,min in degree,max in degree
mnist,euclidean,1.2,robust-prune,-1,60000,60000,90.0,225.23,206.0,115.0,7,719,5,7519
mnist,euclidean,1.2,robust-prune,-1,60000,60000,90.5,228.4,209.0,116.0,7,727,5,8040
mnist,euclidean,1.2,robust-prune,-1,60000,60000,91.0,231.72,213.0,117.0,8,734,6,8619
mnist,euclidean,1.2,robust-prune,-1,60000,60000,91.5,235.15,216.0,118.0,9,757,6,9197
mnist,euclidean,1.2,robust-prune,-1,60000,60000,92.0,238.76,219.0,118.0,9,761,6,9779
mnist,euclidean,1.2,robust-prune,-1,60000,60000,92.5,242.54,223.0,119.0,10,773,6,10310
mnist,euclidean,1.2,robust-prune,-1,60000,60000,93.0,246.55,227.0,120.0,11,796,6,10811
mnist,euclidean,1.2,robust-prune,-1,60000,60000,93.5,250.8,231.0,121.0,12,824,6,11266
mnist,euclidean,1.2,robust-prune,-1,60000,60000,94.0,255.28,235.0,122.0,12,839,6,11727
mnist,euclidean,1.2,robust-prune,-1,60000,60000,94.5,260.06,240.0,123.0,12,848,6,12167
mnist,euclidean,1.2,robust-prune,-1,60000,60000,95.0,265.2,245.0,124.0,12,867,6,12530
mnist,euclidean,1.2,robust-prune,-1,60000,60000,95.5,270.75,251.0,126.0,12,868,6,12833
mnist,euclidean,1.2,robust-prune,-1,60000,60000,96.0,276.73,256.0,127.0,12,884,6,13034
mnist,euclidean,1.2,robust-prune,-1,60000,60000,96.5,283.27,263.0,128.0,13,901,6,13243
mnist,euclidean,1.2,robust-prune,-1,60000,60000,97.0,290.45,270.0,130.0,13,912,6,13400
mnist,euclidean,1.2,robust-prune,-1,60000,60000,97.5,298.55,278.0,131.0,13,928,6,14147
mnist,euclidean,1.2,robust-prune,-1,60000,60000,98.0,307.95,287.0,133.0,14,952,6,15426
mnist,euclidean,1.2,robust-prune,-1,60000,60000,98.5,319.34,299.0,135.0,14,982,6,16497
mnist,euclidean,1.2,robust-prune,-1,60000,60000,99.0,334.12,314.0,137.0,16,1025,6,17234
mnist,euclidean,1.2,robust-prune,-1,60000,60000,99.5,356.31,336.0,141.0,22,1109,6,18719
mnist,euclidean,1.2,robust-prune,-1,60000,60000,100.0,424.22,404.0,150.0,30,1263,6,21659
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,90.0,227.04,170.0,103.0,1,1597,1,5219
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,90.5,229.39,171.0,104.0,1,1597,1,5356
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,91.0,231.84,173.0,104.0,1,1597,1,5456
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,91.5,234.36,175.0,104.0,1,1597,1,5578
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,92.0,236.94,177.0,105.0,1,1597,1,5667
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,92.5,239.63,179.0,105.0,1,1597,1,5758
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,93.0,242.44,182.0,106.0,1,1597,1,5849
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,93.5,245.37,184.0,106.0,1,1608,1,5959
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,94.0,248.45,186.0,106.0,1,1608,1,6047
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,94.5,251.71,188.0,107.0,1,1620,1,6131
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,95.0,255.17,191.0,107.0,1,1645,1,6204
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,95.5,258.81,194.0,107.0,1,1659,1,6286
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,96.0,262.76,197.0,108.0,1,1664,1,6432
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,96.5,267.1,200.0,108.0,1,1665,1,6936
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,97.0,271.98,204.0,109.0,1,1683,2,7499
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,97.5,277.39,208.0,109.0,1,1697,2,8023
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,98.0,283.58,213.0,110.0,1,1725,1,8545
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,98.5,291.28,219.0,110.0,2,1801,1,9076
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,99.0,301.68,226.0,111.0,2,1896,4,9630
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,99.5,319.17,237.0,112.0,3,2060,4,11852
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,100.0,383.49,287.0,114.0,12,2318,4,30841
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,90.0,753.06,712.0,92.0,41,2564,1,4853
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,90.5,763.42,721.0,92.0,41,2592,1,5025
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,91.0,774.21,731.0,93.0,42,2628,1,5219
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,91.5,785.68,741.5,93.0,42,2679,1,5432
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,92.0,797.79,753.0,94.0,42,2706,1,5664
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,92.5,810.58,765.5,95.0,42,2767,1,5876
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,93.0,824.13,778.0,95.0,42,2824,1,6097
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,93.5,838.73,791.0,96.0,43,2891,1,6326
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,94.0,854.26,805.0,97.0,45,2891,1,6562
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,94.5,871.19,822.0,97.0,50,2949,1,6812
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,95.0,889.54,840.0,98.0,53,3045,1,7036
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,95.5,909.63,859.0,99.0,55,3129,1,7302
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,96.0,932.04,878.0,100.0,57,3246,1,7769
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,96.5,957.23,901.0,101.0,63,3390,1,8266
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,97.0,985.79,927.0,102.0,66,3390,1,8786
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,97.5,1019.0,957.0,103.0,78,3390,1,9264
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,98.0,1058.82,993.0,104.0,81,3457,1,9765
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,98.5,1108.92,1039.0,105.0,90,3637,1,10212
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,99.0,1177.72,1100.0,107.0,94,3840,1,10525
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,99.5,1285.96,1203.0,109.0,102,4147,1,14554
coco_i2i,euclidean,1.2,robust-prune,-1,27650,113287,100.0,1528.98,1447.0,113.0,172,4542,1,24241
