edges,n_sources,n_active,frac_active,"mean cov frac (all, clamped)",mean cov frac (active only)
1,10000,10000,1.0,0.4502740491565,0.4502740491565
2,10000,10000,1.0,0.6766401229204,0.6766401229204
3,10000,10000,1.0,0.7983179477754,0.7983179477754
4,10000,10000,1.0,0.8684541579589999,0.8684541579589999
5,10000,10000,1.0,0.9117630984249999,0.9117630984249999
6,10000,10000,1.0,0.9392423402862,0.9392423402862
7,10000,10000,1.0,0.9570057192584,0.9570057192584
8,10000,10000,1.0,0.9690964987242,0.9690964987242
9,10000,10000,1.0,0.9775912187169,0.9775912187169
10,10000,10000,1.0,0.9836347140492001,0.9836347140492001
11,10000,10000,1.0,0.9876936342808,0.9876936342808
12,10000,9999,0.9999,0.9907274872627,0.9907265599186919
13,10000,9999,0.9999,0.992893203779,0.9928924930283027
14,10000,9998,0.9998,0.9944533507157001,0.9944522411639328
15,10000,9997,0.9997,0.9956601747435,0.9956588724052216
16,10000,9997,0.9997,0.9965674420273,0.9965664119508852
17,10000,9996,0.9996,0.9972650570757,0.9972639626607643
18,10000,9994,0.9994,0.9977759013896,0.9977745661292776
19,10000,9993,0.9993,0.9981955886844,0.9981943247116982
20,10000,9993,0.9993,0.9985090645969,0.9985080202110478
21,10000,9992,0.9992,0.9987570575966,0.9987560624465572
22,10000,9991,0.9991,0.9989575113494,0.998956572264438
23,10000,9989,0.9989,0.9991154421134,0.999114468028231
24,10000,9986,0.9986,0.9992405108394999,0.9992394460639896
25,10000,9980,0.998,0.9993327883959,0.999331451298497
26,10000,9978,0.9978,0.9994113303332,0.9994100324044899
27,10000,9969,0.9969,0.9994773661617,0.999475740958672
28,10000,9963,0.9963,0.9995247181935001,0.9995229531200441
29,10000,9950,0.995,0.9995669711891,0.9995647951649246
30,10000,9940,0.994,0.9996047683711999,0.9996023826672031
31,10000,9927,0.9927,0.9996328854204001,0.999630185776569
32,10000,9911,0.9911,0.9996583377855001,0.9996552696857028
33,10000,9903,0.9903,0.9996799133515001,0.9996767780990609
34,10000,9889,0.9889,0.9996966952832,0.9996932908112043
35,10000,9867,0.9867,0.999710972672,0.9997070767933516
36,10000,9847,0.9847,0.9997227503792,0.9997184425502184
37,10000,9812,0.9812,0.9997324737996,0.9997273479408888
38,10000,9786,0.9786,0.9997413427685,0.9997356864587165
39,10000,9753,0.9753,0.9997487298852,0.9997423663336409
40,10000,9721,0.9721,0.9997545893228,0.9997475458520728
41,10000,9675,0.9675,0.9997596397271,0.9997515656094056
42,10000,9630,0.963,0.9997644459838001,0.9997553956218068
