out_degree,n_sources
12,1
14,1
15,1
17,1
18,2
19,1
21,1
22,1
23,2
24,3
25,6
26,2
27,9
28,6
29,13
30,10
31,13
32,16
33,8
34,14
35,22
36,20
37,35
38,26
39,33
40,32
41,46
42,45
43,45
44,44
45,41
46,60
47,62
48,68
49,59
50,75
51,72
52,58
53,51
54,71
55,61
56,76
57,72
58,95
59,89
60,87
61,85
62,83
63,101
64,105
65,86
66,114
67,72
68,100
69,102
70,103
71,94
72,104
73,109
74,100
75,101
76,107
77,111
78,97
79,100
80,102
81,95
82,110
83,111
84,100
85,92
86,92
87,96
88,108
89,85
90,101
91,113
92,102
93,86
94,95
95,100
96,96
97,104
98,88
99,88
100,99
101,84
102,75
103,87
104,82
105,75
106,81
107,83
108,88
109,68
110,73
111,86
112,71
113,92
114,72
115,68
116,72
117,64
118,53
119,64
120,69
121,68
122,67
123,55
124,64
125,41
126,56
127,52
128,58
129,51
130,51
131,49
132,49
133,56
134,59
135,50
136,50
137,46
138,49
139,45
140,36
141,45
142,46
143,36
144,30
145,42
146,49
147,45
148,40
149,45
150,30
151,43
152,31
153,23
154,41
155,40
156,43
157,25
158,17
159,30
160,26
161,25
162,36
163,25
164,26
165,24
166,32
167,22
168,23
169,24
170,22
171,21
172,19
173,19
174,18
175,19
176,22
177,20
178,15
179,15
180,14
181,22
182,27
183,21
184,16
185,17
186,14
187,13
188,10
189,14
190,12
191,10
192,17
193,13
194,16
195,15
196,18
197,9
198,13
199,10
200,9
201,7
202,14
203,11
204,6
205,8
206,17
207,15
208,10
209,12
210,9
211,4
212,11
213,5
214,4
215,9
216,8
217,8
218,9
219,8
220,5
221,5
222,9
223,4
224,7
225,5
226,7
227,6
228,3
229,10
230,3
231,3
232,8
233,3
234,1
235,3
236,7
237,8
238,8
239,5
240,5
241,2
242,5
243,3
244,2
245,2
246,1
247,3
248,3
249,3
250,3
251,4
253,3
254,3
255,1
256,4
257,2
258,6
259,4
260,3
261,2
262,2
263,1
264,3
265,2
266,1
267,2
268,4
269,2
271,4
272,4
273,3
274,7
276,3
277,1
278,2
279,4
280,4
281,1
282,3
283,1
284,1
285,4
286,1
287,1
288,2
290,3
294,1
295,2
297,3
299,2
300,1
301,1
302,1
303,1
306,2
308,2
309,1
311,2
312,1
314,2
315,2
316,1
318,3
322,1
325,2
326,1
327,2
329,1
334,1
336,1
337,1
343,3
346,1
357,3
361,1
363,1
375,2
377,1
383,1
392,1
396,1
402,1
403,1
404,1
406,1
424,1
428,2
434,1
435,1
449,1
452,1
477,1
493,1
499,1
589,1
647,1
