edges,n_sources,n_active,frac_active,"mean cov frac (all, clamped)",mean cov frac (active only)
1,10000,10000,1.0,0.6357970910626,0.6357970910626
2,10000,10000,1.0,0.8384560750202,0.8384560750202
3,10000,10000,1.0,0.9157637916643,0.9157637916643
4,10000,10000,1.0,0.9510223877998001,0.9510223877998001
5,10000,10000,1.0,0.9690057631565,0.9690057631565
6,10000,10000,1.0,0.9793130729715,0.9793130729715
7,10000,10000,1.0,0.9854394708081,0.9854394708081
8,10000,10000,1.0,0.9893731105670001,0.9893731105670001
9,10000,10000,1.0,0.9919702104129,0.9919702104129
10,10000,10000,1.0,0.9937521507047,0.9937521507047
11,10000,10000,1.0,0.9950308034125,0.9950308034125
12,10000,10000,1.0,0.9959516791072001,0.9959516791072001
13,10000,10000,1.0,0.9966161351733,0.9966161351733
14,10000,10000,1.0,0.9971279826696,0.9971279826696
15,10000,10000,1.0,0.9974971807502,0.9974971807502
16,10000,10000,1.0,0.9978262187539999,0.9978262187539999
17,10000,10000,1.0,0.9980938759801,0.9980938759801
18,10000,10000,1.0,0.9983170945886001,0.9983170945886001
19,10000,10000,1.0,0.998489115076,0.998489115076
20,10000,10000,1.0,0.9986551490422,0.9986551490422
21,10000,10000,1.0,0.9987879342543,0.9987879342543
22,10000,10000,1.0,0.9988984371805,0.9988984371805
23,10000,10000,1.0,0.9989989420205999,0.9989989420205999
24,10000,10000,1.0,0.9990893661444,0.9990893661444
25,10000,10000,1.0,0.9991646992233,0.9991646992233
26,10000,10000,1.0,0.9992223795242999,0.9992223795242999
27,10000,10000,1.0,0.9992764285437999,0.9992764285437999
28,10000,10000,1.0,0.9993289090249,0.9993289090249
29,10000,10000,1.0,0.9993789600603,0.9993789600603
30,10000,10000,1.0,0.999417993707,0.999417993707
31,10000,10000,1.0,0.9994603645994,0.9994603645994
32,10000,10000,1.0,0.9994906142789001,0.9994906142789001
33,10000,10000,1.0,0.9995226651286,0.9995226651286
34,10000,10000,1.0,0.9995501724428999,0.9995501724428999
35,10000,10000,1.0,0.999574601936,0.999574601936
36,10000,10000,1.0,0.9995969999158,0.9995969999158
37,10000,10000,1.0,0.9996235608634,0.9996235608634
38,10000,10000,1.0,0.9996419104175001,0.9996419104175001
39,10000,10000,1.0,0.9996610592847001,0.9996610592847001
40,10000,10000,1.0,0.9996777145675,0.9996777145675
41,10000,10000,1.0,0.9996920572946,0.9996920572946
42,10000,10000,1.0,0.9997051291662,0.9997051291662
43,10000,10000,1.0,0.9997176266179,0.9997176266179
44,10000,9999,0.9999,0.9997291904951,0.9997291634114411
45,10000,9999,0.9999,0.9997406222032,0.9997405962628263
46,10000,9999,0.9999,0.9997509795328999,0.9997509546283629
47,10000,9999,0.9999,0.9997611882894,0.9997611644058406
48,10000,9999,0.9999,0.9997711229791,0.999771100089109
49,10000,9999,0.9999,0.9997797769183,0.9997797548937895
