out_degree,n_sources
44,1
51,1
70,1
75,1
79,1
81,1
112,1
117,1
118,1
122,1
135,1
137,3
145,1
147,2
153,3
156,1
159,1
162,1
163,1
168,1
169,1
187,1
193,2
194,1
195,1
198,1
204,1
205,1
207,1
208,3
211,1
212,2
213,1
215,1
216,1
217,1
218,1
220,1
221,2
224,1
225,1
226,1
227,1
228,1
230,1
231,2
237,1
239,2
244,1
245,1
246,1
248,1
251,1
252,1
254,1
256,3
257,1
259,1
260,1
262,1
263,1
265,2
266,1
267,1
270,3
272,1
273,1
275,1
276,3
279,1
280,2
282,2
283,2
284,2
285,1
287,2
288,1
289,2
290,1
292,2
293,1
294,2
295,1
296,1
299,2
301,2
302,3
303,3
304,2
305,1
306,1
307,1
308,1
309,1
310,2
312,2
314,1
318,1
319,1
320,1
321,2
323,1
324,2
326,2
327,3
328,1
330,1
331,1
332,1
334,2
335,1
336,2
337,2
341,2
342,1
344,1
345,2
346,3
348,3
349,1
350,2
351,2
353,3
354,1
356,1
358,1
359,6
360,2
361,1
362,2
363,1
365,1
366,2
367,2
368,1
370,3
372,2
373,1
374,3
375,1
376,4
379,1
380,1
381,4
382,2
383,4
385,1
386,2
389,1
390,1
391,3
392,1
393,3
394,2
395,2
397,6
399,2
400,1
401,2
402,1
403,3
404,1
405,2
406,2
407,2
408,1
409,3
410,2
413,2
414,1
415,1
416,4
417,1
418,2
419,1
421,2
423,4
424,4
425,3
426,1
427,1
428,1
429,1
430,2
431,1
432,2
433,2
434,3
436,1
437,4
438,1
439,4
440,2
441,2
442,2
443,8
444,2
445,2
446,3
447,2
448,3
449,1
450,2
451,1
452,2
453,1
454,3
455,3
456,5
457,2
458,1
459,2
460,3
461,4
462,1
463,2
465,3
466,3
467,2
468,4
469,1
470,7
471,5
472,4
473,3
474,1
475,2
476,2
477,2
478,4
479,1
480,3
482,2
483,6
484,3
486,2
487,3
488,4
489,3
490,5
491,1
492,1
493,2
494,1
495,4
496,4
497,1
498,4
499,2
500,2
501,2
502,3
503,2
504,3
505,4
506,4
507,3
508,2
509,5
510,4
511,3
513,2
514,1
515,2
516,2
517,3
518,2
519,3
520,4
521,2
522,2
523,2
524,4
525,2
526,1
527,5
528,2
529,3
530,4
531,5
532,2
533,5
535,1
536,3
537,1
538,7
540,2
541,3
544,4
545,3
546,1
547,2
548,1
549,4
550,4
551,4
552,1
553,1
554,4
555,2
556,2
558,2
559,3
560,1
561,3
562,3
563,4
565,7
566,4
568,7
569,6
570,3
571,2
572,4
573,2
574,3
575,5
576,4
577,2
578,2
579,3
580,8
581,3
582,2
583,5
584,3
585,3
586,6
587,2
588,2
589,6
590,4
591,2
592,4
593,1
594,6
595,5
596,1
597,3
598,2
599,2
600,1
601,2
602,2
603,3
604,8
605,2
606,3
607,3
608,3
609,8
610,6
611,4
612,3
613,2
614,2
615,4
616,1
617,2
618,4
619,2
620,3
621,3
622,2
623,3
624,4
625,2
626,3
627,3
628,6
629,4
630,1
631,6
632,2
633,4
634,2
635,3
636,4
637,4
638,1
639,1
640,2
641,4
642,4
643,2
644,2
645,3
646,6
647,4
648,1
649,4
650,3
651,2
652,7
653,2
654,4
655,3
656,3
657,3
658,4
659,3
660,2
661,3
662,5
663,7
664,6
665,3
666,3
667,4
668,3
669,8
670,5
671,1
672,6
673,3
674,2
675,4
676,5
677,2
678,4
679,3
680,4
681,1
682,4
683,5
684,3
685,2
686,3
687,4
688,4
689,6
690,4
691,4
692,3
693,4
694,4
695,2
696,2
697,4
698,3
699,2
700,5
701,4
702,7
703,2
704,4
706,6
707,6
708,3
709,5
710,5
711,3
712,7
713,3
714,6
715,3
716,6
717,3
718,1
719,6
720,6
721,5
722,10
723,4
724,5
725,3
726,4
727,4
728,6
729,6
730,2
731,3
732,2
733,8
734,4
735,3
736,6
737,3
738,3
739,3
740,10
741,5
742,5
743,1
744,5
745,5
746,3
747,3
748,3
749,4
750,4
751,4
752,3
753,4
754,3
755,2
756,5
757,6
758,2
759,6
760,6
761,2
762,3
763,2
764,6
765,2
766,7
767,2
768,2
769,2
770,3
771,7
772,2
773,8
774,10
775,3
776,4
777,6
778,3
779,2
780,10
781,6
782,3
783,4
784,3
785,6
786,6
787,8
788,4
789,3
790,2
791,6
792,5
793,2
794,2
795,2
796,4
797,2
798,1
799,3
800,5
801,5
802,3
803,7
804,3
805,1
806,1
807,2
808,2
