edges,n_sources,n_active,frac_active,"mean cov frac (all, clamped)",mean cov frac (active only)
1,10000,10000,1.0,0.5384457125028794,0.5384457125028794
2,10000,10000,1.0,0.7358092441214421,0.7358092441214421
3,10000,10000,1.0,0.829767721766908,0.829767721766908
4,10000,10000,1.0,0.8822442558718391,0.8822442558718391
5,10000,10000,1.0,0.9142108213432822,0.9142108213432822
6,10000,10000,1.0,0.934559364874151,0.934559364874151
7,10000,10000,1.0,0.9486845025038574,0.9486845025038574
8,10000,10000,1.0,0.958694810159011,0.958694810159011
9,10000,10000,1.0,0.9661352648313214,0.9661352648313214
10,10000,10000,1.0,0.9717891800902914,0.9717891800902914
11,10000,10000,1.0,0.976161835041639,0.976161835041639
12,10000,10000,1.0,0.9796375600703676,0.9796375600703676
13,10000,10000,1.0,0.9823942828603845,0.9823942828603845
14,10000,10000,1.0,0.9846521508259878,0.9846521508259878
15,10000,10000,1.0,0.986518370572298,0.986518370572298
16,10000,10000,1.0,0.9880939316582283,0.9880939316582283
17,10000,10000,1.0,0.9894101535394569,0.9894101535394569
18,10000,10000,1.0,0.9905235259040964,0.9905235259040964
19,10000,10000,1.0,0.9914638553252623,0.9914638553252623
20,10000,10000,1.0,0.992274945001098,0.992274945001098
21,10000,10000,1.0,0.9929992585798588,0.9929992585798588
22,10000,10000,1.0,0.9936230078325803,0.9936230078325803
23,10000,10000,1.0,0.994177721229826,0.994177721229826
24,10000,10000,1.0,0.9946612499779603,0.9946612499779603
25,10000,10000,1.0,0.995102266477417,0.995102266477417
26,10000,10000,1.0,0.9954896487390713,0.9954896487390713
27,10000,10000,1.0,0.9958404006490004,0.9958404006490004
28,10000,10000,1.0,0.996145131437501,0.996145131437501
29,10000,10000,1.0,0.9964205983206866,0.9964205983206866
30,10000,10000,1.0,0.9966761598975513,0.9966761598975513
31,10000,10000,1.0,0.9969041759227353,0.9969041759227353
32,10000,10000,1.0,0.9971051338186357,0.9971051338186357
33,10000,10000,1.0,0.9972953112521048,0.9972953112521048
34,10000,10000,1.0,0.9974660872501229,0.9974660872501229
35,10000,10000,1.0,0.9976194607904225,0.9976194607904225
36,10000,10000,1.0,0.9977582745184393,0.9977582745184393
37,10000,10000,1.0,0.9978875117988271,0.9978875117988271
38,10000,10000,1.0,0.9980065057532101,0.9980065057532101
39,10000,10000,1.0,0.9981191942405816,0.9981191942405816
40,10000,10000,1.0,0.9982213065584365,0.9982213065584365
41,10000,10000,1.0,0.9983213368077042,0.9983213368077042
42,10000,10000,1.0,0.9984103992886781,0.9984103992886781
43,10000,10000,1.0,0.998491318020678,0.998491318020678
44,10000,10000,1.0,0.9985691731751296,0.9985691731751296
45,10000,10000,1.0,0.9986404953641483,0.9986404953641483
46,10000,10000,1.0,0.9987099527037661,0.9987099527037661
47,10000,10000,1.0,0.9987725405994,0.9987725405994
48,10000,10000,1.0,0.9988297544145425,0.9988297544145425
49,10000,10000,1.0,0.9988843641969856,0.9988843641969856
50,10000,10000,1.0,0.9989347719909588,0.9989347719909588
51,10000,10000,1.0,0.9989814723384401,0.9989814723384401
52,10000,10000,1.0,0.9990247376409672,0.9990247376409672
53,10000,10000,1.0,0.9990668815502242,0.9990668815502242
54,10000,10000,1.0,0.9991060116308409,0.9991060116308409
55,10000,10000,1.0,0.9991426983861551,0.9991426983861551
56,10000,10000,1.0,0.9991776842154657,0.9991776842154657
57,10000,10000,1.0,0.9992112670757105,0.9992112670757105
58,10000,10000,1.0,0.9992425463075182,0.9992425463075182
59,10000,10000,1.0,0.9992730476453301,0.9992730476453301
60,10000,10000,1.0,0.9993009840211919,0.9993009840211919
61,10000,10000,1.0,0.9993263247587382,0.9993263247587382
62,10000,10000,1.0,0.9993512921737704,0.9993512921737704
63,10000,10000,1.0,0.9993751937141129,0.9993751937141129
64,10000,10000,1.0,0.9993973234117396,0.9993973234117396
65,10000,10000,1.0,0.9994197636282437,0.9994197636282437
66,10000,10000,1.0,0.9994410791473896,0.9994410791473896
67,10000,10000,1.0,0.9994610683438402,0.9994610683438402
68,10000,10000,1.0,0.9994809433842035,0.9994809433842035
69,10000,10000,1.0,0.9994992688401211,0.9994992688401211
70,10000,10000,1.0,0.9995173070105555,0.9995173070105555
71,10000,10000,1.0,0.9995341046375549,0.9995341046375549
72,10000,10000,1.0,0.999549267862318,0.999549267862318
73,10000,10000,1.0,0.999564444147302,0.999564444147302
74,10000,10000,1.0,0.9995782934745073,0.9995782934745073
75,10000,10000,1.0,0.9995915862775552,0.9995915862775552
76,10000,10000,1.0,0.9996047443738919,0.9996047443738919
77,10000,10000,1.0,0.9996171203083931,0.9996171203083931
78,10000,10000,1.0,0.9996283963442423,0.9996283963442423
79,10000,10000,1.0,0.999639754570603,0.999639754570603
80,10000,10000,1.0,0.9996510177904503,0.9996510177904503
81,10000,10000,1.0,0.9996613959309388,0.9996613959309388
82,10000,10000,1.0,0.9996716487210688,0.9996716487210688
83,10000,10000,1.0,0.9996813430437035,0.9996813430437035
84,10000,10000,1.0,0.9996950556245703,0.9996950556245703
85,10000,9999,0.9999,0.9997039575233952,0.9997039279161869
86,10000,9999,0.9999,0.9997127533542444,0.999712724626707
87,10000,9999,0.9999,0.9997210223025804,0.9997209944020208
88,10000,9999,0.9999,0.9997290287452385,0.999729001645403
89,10000,9999,0.9999,0.9997369283462516,0.9997369020364552
90,10000,9999,0.9999,0.9997441583866178,0.9997441327998979
91,10000,9998,0.9998,0.999751478293131,0.9997514285788469
92,10000,9998,0.9998,0.9997579464403351,0.9997578980199391
