out_degree,n_sources
85,1
91,1
97,1
98,1
100,1
101,1
102,2
103,1
104,1
108,2
109,2
110,1
113,3
114,1
115,3
116,2
118,1
119,2
120,1
122,3
125,1
126,1
129,4
130,1
131,2
132,2
133,1
134,2
135,1
137,3
138,3
141,2
142,2
143,4
144,2
145,2
146,3
147,2
148,4
149,3
150,1
151,2
152,3
154,2
155,2
156,3
157,4
158,1
159,3
160,2
161,4
162,2
163,1
164,2
165,3
166,1
167,5
168,1
169,3
170,1
171,4
172,3
173,2
174,3
175,1
176,2
177,2
178,3
179,4
180,5
181,7
182,4
183,2
184,5
185,1
186,3
187,5
188,4
189,4
190,2
191,3
192,3
193,3
194,5
195,4
196,5
197,3
198,4
199,3
200,5
201,4
202,3
203,6
204,5
205,4
206,2
207,1
208,9
209,3
210,6
211,2
212,3
213,5
214,3
215,2
216,6
217,8
218,8
219,5
220,5
221,8
222,6
223,10
224,5
225,10
226,7
227,7
228,9
229,3
230,12
231,9
232,9
233,8
234,10
235,9
236,5
237,5
238,6
239,13
240,9
241,11
242,7
243,14
244,7
245,7
246,10
247,6
248,7
249,12
250,6
251,15
252,11
253,10
254,5
255,7
256,10
257,8
258,8
259,10
260,10
261,13
262,2
263,7
264,12
265,11
266,10
267,7
268,8
269,16
270,15
271,13
272,8
273,11
274,8
275,12
276,14
277,10
278,8
279,12
280,18
281,13
282,14
283,8
284,7
285,9
286,18
287,9
288,9
289,22
290,14
291,15
292,6
293,17
294,7
295,9
296,11
297,17
298,13
299,21
300,15
301,7
302,17
303,5
304,15
305,14
306,11
307,18
308,19
309,15
310,11
311,12
312,16
313,15
314,23
315,19
316,17
317,16
318,13
319,19
320,19
321,16
322,15
323,22
324,22
325,13
326,13
327,17
328,20
329,11
330,21
331,18
332,21
333,19
334,23
335,14
336,21
337,17
338,11
339,18
340,16
341,12
342,18
343,11
344,19
345,22
346,14
347,19
348,23
349,20
350,9
351,15
352,21
353,16
354,16
355,20
356,19
357,12
358,23
