edges,n_sources,n_active,frac_active,"mean cov frac (all, clamped)",mean cov frac (active only)
1,10000,10000,1.0,0.5095994858015,0.5095994858015
2,10000,10000,1.0,0.7256962918550001,0.7256962918550001
3,10000,10000,1.0,0.8298279480055,0.8298279480055
4,10000,10000,1.0,0.8871236995345,0.8871236995345
5,10000,10000,1.0,0.9213085463729,0.9213085463729
6,10000,10000,1.0,0.9430593880808,0.9430593880808
7,10000,10000,1.0,0.9575663203334001,0.9575663203334001
8,10000,10000,1.0,0.9675565038476,0.9675565038476
9,10000,10000,1.0,0.974873997809,0.974873997809
10,10000,10000,1.0,0.9802130080847,0.9802130080847
11,10000,10000,1.0,0.9840983979764,0.9840983979764
12,10000,10000,1.0,0.9871538651848001,0.9871538651848001
13,10000,10000,1.0,0.9894915780561,0.9894915780561
14,10000,10000,1.0,0.9912984790312,0.9912984790312
15,10000,10000,1.0,0.9927515738053,0.9927515738053
16,10000,10000,1.0,0.9938915921484,0.9938915921484
17,10000,10000,1.0,0.9948382560147999,0.9948382560147999
18,10000,10000,1.0,0.9956288328174,0.9956288328174
19,10000,10000,1.0,0.9962676286533999,0.9962676286533999
20,10000,10000,1.0,0.9968049641107,0.9968049641107
21,10000,10000,1.0,0.9972397535956,0.9972397535956
22,10000,10000,1.0,0.9975972270667,0.9975972270667
23,10000,10000,1.0,0.9978951094838,0.9978951094838
24,10000,10000,1.0,0.9981518147782,0.9981518147782
25,10000,9997,0.9997,0.9983665605779001,0.9983660703990197
26,10000,9996,0.9996,0.9986019112711999,0.9986013518119248
27,10000,9995,0.9995,0.9987784481134,0.9987778370319159
28,10000,9994,0.9994,0.9989216502223001,0.9989210028239944
29,10000,9993,0.9993,0.9990408474525,0.9990401755754027
30,10000,9991,0.9991,0.9991446552436,0.9991438847398659
31,10000,9989,0.9989,0.9992321420943,0.9992312965204725
32,10000,9988,0.9988,0.999311450862,0.9993106236103324
33,10000,9986,0.9986,0.9993785820527,0.9993777108478871
34,10000,9984,0.9984,0.9994350217872,0.9994341163733975
35,10000,9978,0.9978,0.9994861908088,0.9994850579362597
36,10000,9974,0.9974,0.9995322880422,0.999531068821135
37,10000,9967,0.9967,0.9995723122281,0.9995708961855122
38,10000,9958,0.9958,0.9996067108747,0.9996050520934926
39,10000,9951,0.9951,0.9996378537832,0.9996360705287911
40,10000,9942,0.9942,0.9996645642963999,0.9996626074194328
41,10000,9935,0.9935,0.9996881094518,0.9996860688996477
42,10000,9924,0.9924,0.9997094761367,0.9997072512461709
43,10000,9916,0.9916,0.9997288658918999,0.9997265690721057
44,10000,9907,0.9907,0.9997453142921999,0.9997429234805693
45,10000,9895,0.9895,0.999759668867,0.9997571186124306
46,10000,9873,0.9873,0.9997728420880999,0.9997699200730275
47,10000,9857,0.9857,0.9997843488127001,0.9997812202624531
48,10000,9840,0.984,0.9997953679114,0.9997920405603657
49,10000,9826,0.9826,0.9998047174371001,0.9998012593497863
50,10000,9805,0.9805,0.9998140938999,0.9998103966342683
51,10000,9779,0.9779,0.9998214706081,0.9998174359424277
52,10000,9763,0.9763,0.999827996716,0.9998238212803441
53,10000,9740,0.974,0.9998343037553,0.9998298806522588
54,10000,9722,0.9722,0.9998397668585,0.9998351850015429
55,10000,9702,0.9702,0.9998445534572,0.99983977886745
56,10000,9672,0.9672,0.9998491998940999,0.999844085912014
57,10000,9647,0.9647,0.9998534874689999,0.9998481263283923
58,10000,9623,0.9623,0.9998572600123,0.9998516678918217
59,10000,9592,0.9592,0.9998607658771,0.9998548434915554
60,10000,9576,0.9576,0.9998638109069999,0.9998577808134921
61,10000,9554,0.9554,0.9998666597439,0.9998604351516642
62,10000,9524,0.9524,0.9998691432284,0.9998626031377573
63,10000,9501,0.9501,0.9998713311199,0.999864573329018
64,10000,9479,0.9479,0.9998734997934,0.9998665468861694
65,10000,9455,0.9455,0.9998753506627001,0.9998681656929667
66,10000,9419,0.9419,0.9998773490867,0.9998697835085466
67,10000,9382,0.9382,0.9998790940634,0.9998711298906416
68,10000,9346,0.9346,0.9998805151164,0.9998721539871603
69,10000,9309,0.9309,0.9998819128488999,0.9998731473293587
70,10000,9272,0.9272,0.9998832408156,0.9998740733559103
71,10000,9233,0.9233,0.9998844955475,0.9998749004088595
