out_degree,n_sources
25,3
26,1
27,1
28,1
29,1
30,2
31,2
32,1
33,2
34,2
35,6
36,4
37,7
38,9
39,7
40,9
41,7
42,11
43,8
44,9
45,12
46,22
47,16
48,17
49,14
50,21
51,26
52,16
53,23
54,18
55,20
56,30
57,25
58,24
59,31
60,16
61,22
62,30
63,23
64,22
65,24
66,36
67,37
68,36
69,37
70,37
71,39
72,37
73,41
74,49
75,38
76,46
77,55
78,51
79,45
80,45
81,40
82,43
83,58
84,47
85,49
86,50
87,66
88,66
89,50
90,64
91,59
92,64
93,61
94,52
95,45
96,65
97,58
98,61
99,61
100,67
101,74
102,73
103,67
104,74
105,57
106,63
107,77
108,78
109,81
110,65
111,70
112,83
113,81
114,70
115,70
116,74
117,67
118,76
119,72
120,72
121,74
122,60
123,73
124,68
125,79
126,81
127,73
128,89
129,70
130,75
131,78
132,69
133,65
134,68
135,70
136,68
137,68
138,79
139,74
140,65
141,81
142,78
143,74
144,73
145,64
146,75
147,62
148,74
149,86
150,69
151,73
152,75
153,62
154,72
155,66
156,59
157,54
158,67
159,58
160,71
161,65
162,80
163,53
164,66
165,46
166,58
167,52
168,61
169,53
170,58
171,53
172,46
173,53
174,33
175,54
176,51
177,46
178,50
179,59
180,50
181,31
182,45
183,39
184,37
185,38
186,41
187,47
188,40
189,52
190,43
191,32
192,40
193,38
194,42
195,41
196,36
197,40
198,34
199,29
200,38
201,37
202,30
203,36
204,28
205,31
206,39
207,27
208,32
209,31
210,22
211,24
212,21
213,33
214,28
215,28
216,30
217,18
218,22
219,29
220,19
221,24
222,24
223,26
224,20
225,27
226,26
227,20
228,15
229,28
230,22
231,18
232,16
233,17
234,18
235,19
236,27
237,12
238,15
239,14
240,11
241,14
242,11
243,11
244,13
245,14
246,10
247,13
248,15
249,10
250,13
251,16
252,19
253,13
254,7
255,8
256,13
257,7
258,12
259,9
260,12
261,6
262,6
263,8
264,7
265,10
266,12
267,4
268,5
269,4
270,2
271,11
272,5
273,4
274,4
275,8
276,4
277,11
278,4
279,5
280,3
281,8
282,9
283,2
284,7
285,5
286,5
287,6
288,4
289,8
290,7
291,3
292,5
293,3
294,8
295,10
296,4
297,4
298,6
299,2
300,3
301,4
302,1
303,3
304,5
305,4
306,4
307,4
308,2
309,1
311,2
312,3
313,2
314,3
315,3
316,1
318,1
319,2
320,2
322,2
324,2
325,2
326,3
327,1
328,2
329,1
330,4
331,1
333,1
334,1
335,1
336,1
337,1
339,2
340,1
341,2
342,2
343,1
345,2
346,1
347,1
348,1
350,1
351,2
352,1
354,2
358,1
360,1
361,1
364,2
365,1
366,1
367,1
375,1
376,1
378,1
385,1
388,1
390,2
397,1
412,1
451,1
465,1
541,1
558,1
560,1
