dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered
bigann,euclidean,robust-prune,128,10000,1000000000,1,450274049.1565,442062339.5,2,991774311
bigann,euclidean,robust-prune,128,10000,1000000000,2,676640122.9204,701480275.0,3,999410929
bigann,euclidean,robust-prune,128,10000,1000000000,3,798317947.7754,833451288.5,4,999927625
bigann,euclidean,robust-prune,128,10000,1000000000,4,868454157.959,904609790.0,5,999988458
bigann,euclidean,robust-prune,128,10000,1000000000,5,911763098.425,943034956.0,6,999989265
bigann,euclidean,robust-prune,128,10000,1000000000,6,939242340.2862,965274581.5,7,999997230
bigann,euclidean,robust-prune,128,10000,1000000000,7,957005719.2584,978205717.5,8,999999922
bigann,euclidean,robust-prune,128,10000,1000000000,8,969096498.7242,985950381.0,9,999999925
bigann,euclidean,robust-prune,128,10000,1000000000,9,977591218.7169,991004289.5,10,999999988
bigann,euclidean,robust-prune,128,10000,1000000000,10,983634714.0492,994238763.0,11,999999992
bigann,euclidean,robust-prune,128,10000,1000000000,11,987693634.2808,996169422.0,12,999999999
bigann,euclidean,robust-prune,128,10000,1000000000,12,990727487.2627,997433646.0,13,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,13,992893203.779,998249633.5,14,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,14,994453350.7157,998808520.5,15,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,15,995660174.7435,999174051.5,16,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,16,996567442.0273,999415115.5,17,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,17,997265057.0757,999592217.5,18,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,18,997775901.3896,999709986.0,19,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,19,998195588.6844,999792868.0,20,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,20,998509064.5969,999849304.5,21,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,21,998757057.5966,999887312.5,22,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,22,998957511.3494,999916468.0,23,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,23,999115442.1134,999938392.0,24,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,24,999240510.8395,999954020.0,25,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,25,999332788.3959,999964874.0,26,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,26,999411330.3332,999973118.5,27,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,27,999477366.1617,999979122.5,28,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,28,999524718.1935,999983893.5,29,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,29,999566971.1891,999987370.0,30,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,30,999604768.3712,999990051.5,31,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,31,999632885.4204,999992114.0,32,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,32,999658337.7855,999993664.0,33,1000000000
bigann,euclidean,robust-prune,128,10000,1000000000,33,999679913.3515,999994852.0,34,1000000000
