dataset,metric,alpha,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,1,117.9736,16.0,2,8483,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,2,254.1761,66.0,3,12112,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,3,400.0961,132.0,4,19792,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,4,546.4717,207.0,5,21742,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,5,695.1678,288.0,6,24656,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,6,842.1563,377.0,7,28810,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,7,990.7097,464.5,8,41741,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,8,1137.204,554.5,9,44291,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,9,1281.8924,646.0,11,44919,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,10,1428.7013,740.0,12,47022,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,11,1573.5361,829.5,14,49179,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,12,1720.1542,922.0,15,54135,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,13,1872.2302,1017.0,17,59258,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,14,2026.5485,1112.0,19,60443,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,15,2182.5212,1205.0,20,62262,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,16,2331.4461,1304.0,21,62274,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,17,2485.9186,1397.0,22,62570,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,18,2636.7379,1494.5,29,62949,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,19,2789.0693,1587.5,31,64432,27200,27200
coco_i2i,euclidean,1.2,robust-prune,-1,27200,113287,20,2941.1973,1682.0,32,68467,27200,27200
