dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,1,635797091.0626,633993036.0,14054492,999999835,9121,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,2,838456075.0202,874511504.5,42500850,999999857,8338,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,3,915763791.6643,951718536.5,260900633,999999864,7601,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,4,951022387.7998,978675631.5,415195755,999999865,6903,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,5,969005763.1565,989372740.5,458254994,999999926,6167,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,6,979313072.9715,993874956.5,590219320,999999934,5298,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,7,985439470.8081,996133799.5,638874553,999999936,4555,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,8,989373110.567,997404764.5,690463897,999999937,3804,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,9,991970210.4129,998138308.5,707106032,999999938,3139,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,10,993752150.7047,998589927.5,715016834,999999940,2606,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,11,995030803.4125,998892438.0,764132221,999999946,2137,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,12,995951679.1072,999106181.0,793767989,999999948,1769,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,13,996616135.1733,999236567.0,797532849,999999953,1510,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,14,997127982.6696,999370690.0,800820298,999999954,1276,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,15,997497180.7502,999451842.5,802678254,999999956,1096,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,16,997826218.754,999523855.0,816149775,999999957,938,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,17,998093875.9801,999576661.5,821701646,999999958,804,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,18,998317094.5886,999619844.0,824154030,999999960,692,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,19,998489115.076,999658069.0,826424168,999999962,607,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,20,998655149.0422,999690414.0,880774844,999999969,530,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,21,998787934.2543,999717466.5,894945210,999999970,465,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,22,998898437.1805,999740235.5,907175759,999999972,419,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,23,998998942.0206,999761853.0,913265785,999999973,380,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,24,999089366.1444,999778221.0,921031113,999999974,334,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,25,999164699.2233,999794983.0,923216551,999999975,299,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,26,999222379.5243,999809508.5,924855683,999999976,267,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,27,999276428.5438,999821799.0,928839629,999999977,243,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,28,999328909.0249,999832859.5,934207722,999999979,217,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,29,999378960.0603,999842886.0,936432432,999999982,195,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,30,999417993.707,999851724.5,938971596,999999983,180,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,31,999460364.5994,999859753.5,945885011,999999984,164,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,32,999490614.2789,999867260.0,948174364,999999985,153,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,33,999522665.1286,999874406.0,950820596,999999986,140,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,34,999550172.4429,999881353.0,951842996,999999988,131,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,35,999574601.936,999887083.5,954442976,999999989,122,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,36,999596999.9158,999892603.0,959416365,999999990,113,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,37,999623560.8634,999897994.0,961264831,999999992,102,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,38,999641910.4175,999902062.5,962176658,999999993,93,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,39,999661059.2847,999906720.0,963742114,999999994,80,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,40,999677714.5675,999910819.5,964651681,999999995,72,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,41,999692057.2946,999914565.0,964988781,999999996,71,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,42,999705129.1662,999917669.5,970064252,999999997,66,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,43,999717626.6179,999920888.0,970786248,999999999,64,10000
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,44,999729190.4951,999923834.5,971440723,1000000000,62,9999
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,45,999740622.2032,999926720.0,973014925,1000000000,57,9999
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,46,999750979.5329,999929335.5,973139594,1000000000,48,9999
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,47,999761188.2894,999931996.0,973229262,1000000000,45,9999
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,48,999771122.9791,999934159.5,973848464,1000000000,43,9999
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,49,999779776.9183,999936391.5,975246642,1000000000,41,9999
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,50,999787879.4898,999938303.0,975531109,1000000000,37,9999
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,51,999795722.7498,999940065.5,975715704,1000000000,33,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,52,999802779.2949,999941837.5,976395616,1000000000,32,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,53,999809755.0022,999943643.5,976945319,1000000000,28,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,54,999816237.4994,999945255.0,977267514,1000000000,26,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,55,999821911.4463,999946816.0,977565195,1000000000,23,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,56,999827940.4634,999948546.5,978159002,1000000000,23,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,57,999833163.4049,999949921.0,978310021,1000000000,22,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,58,999838402.5008,999951216.5,979147781,1000000000,22,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,59,999843148.4205,999952672.5,979348060,1000000000,21,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,60,999848429.3777,999953704.5,979590412,1000000000,18,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,61,999852574.7099,999955024.5,979958396,1000000000,18,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,62,999856591.0155,999955933.5,980718050,1000000000,17,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,63,999860966.7372,999957029.5,981854560,1000000000,16,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,64,999864670.9512,999957977.0,982154248,1000000000,16,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,65,999869075.7,999958870.0,984342251,1000000000,16,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,66,999872863.034,999959883.5,984492277,1000000000,13,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,67,999876184.9999,999960866.0,984988921,1000000000,13,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,68,999879391.4595,999961664.5,985134443,1000000000,12,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,69,999882617.7335,999962530.5,985262552,1000000000,12,9998
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,70,999885450.2374,999963248.5,985399021,1000000000,12,9997
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,71,999888532.144,999964207.5,985834601,1000000000,12,9997
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,72,999891316.7289,999964995.0,986678861,1000000000,12,9997
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,73,999893857.517,999965842.0,986807256,1000000000,12,9997
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,74,999896200.3423,999966492.0,987081814,1000000000,11,9997
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,75,999898519.3337,999967079.0,987298257,1000000000,11,9996
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,76,999900818.6007,999967802.0,987446626,1000000000,11,9996
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,77,999902894.9602,999968358.0,987567561,1000000000,11,9996
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,78,999904973.886,999969093.0,987609524,1000000000,11,9996
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,79,999906949.1913,999969655.5,987830507,1000000000,11,9995
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,80,999908825.9952,999970252.5,988097260,1000000000,9,9995
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,81,999910790.8309,999970862.0,988191760,1000000000,8,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,82,999912473.127,999971363.0,988652089,1000000000,8,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,83,999914445.8374,999971864.5,988676893,1000000000,7,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,84,999916043.6453,999972390.5,988763792,1000000000,7,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,85,999917607.6836,999972794.0,988875830,1000000000,7,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,86,999919304.4736,999973249.5,988892079,1000000000,7,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,87,999920917.7333,999973729.0,989101138,1000000000,7,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,88,999922324.6496,999974104.0,989414353,1000000000,7,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,89,999923671.0291,999974609.0,989503945,1000000000,6,9994
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,90,999924988.3184,999975010.0,989585009,1000000000,6,9994
