dataset,metric,alpha,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,1,889.4971,47.0,2,58907,60000,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,2,1718.8503,205.0,3,59569,60000,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,3,2464.069,433.0,4,59824,59999,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,4,3176.898,715.0,5,59847,59996,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,5,3838.3701,1017.0,6,59922,59993,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,6,4473.2008,1360.0,7,59931,59989,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,7,5097.1593,1720.0,8,59985,59985,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,8,5696.2571,2095.5,9,59993,59980,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,9,6288.1108,2487.0,19,59995,59974,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,10,6869.3362,2867.0,20,59996,59964,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,11,7430.596,3279.0,22,59998,59950,60000
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,12,7982.6244,3690.0,23,60000,59943,59998
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,13,8535.293,4125.0,24,60000,59933,59997
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,14,9074.3424,4550.5,35,60000,59923,59996
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,15,9583.5029,4971.0,36,60000,59907,59993
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,16,10081.4507,5398.0,37,60000,59888,59989
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,17,10588.2026,5824.5,38,60000,59877,59986
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,18,11083.2603,6251.0,39,60000,59865,59978
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,19,11553.8476,6668.0,43,60000,59847,59974
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,20,12028.2638,7087.5,44,60000,59821,59966
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,21,12498.1973,7521.0,46,60000,59796,59962
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,22,12958.5482,7950.0,52,60000,59769,59954
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,23,13398.7797,8366.0,53,60000,59743,59945
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,24,13831.2378,8788.0,54,60000,59716,59939
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,25,14255.2437,9207.5,58,60000,59689,59931
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,26,14681.7282,9613.0,66,60000,59655,59926
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,27,15107.3813,10035.0,91,60000,59626,59915
fashion_mnist,euclidean,1.2,robust-prune,-1,60000,60000,28,15525.2424,10441.0,101,60000,59588,59908
