dataset,metric,alpha,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage
mnist,euclidean,1.2,robust-prune,-1,60000,60000,1,107.3503,23.0,2,14854,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,2,259.6738,84.0,3,28068,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,3,438.1265,167.0,4,28534,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,4,638.9114,266.0,5,30114,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,5,861.2863,377.0,6,44446,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,6,1093.2072,495.0,7,46111,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,7,1339.7795,625.0,14,54374,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,8,1591.212,758.0,17,54737,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,9,1851.8002,899.0,21,55445,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,10,2119.2877,1047.0,27,55585,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,11,2397.1865,1200.0,35,56042,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,12,2673.0956,1354.0,37,57688,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,13,2956.3863,1518.0,68,58589,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,14,3242.5392,1682.0,71,59176,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,15,3535.6721,1852.0,80,59241,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,16,3830.3058,2029.0,89,59412,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,17,4131.0057,2203.0,126,59491,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,18,4441.9878,2399.5,133,59633,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,19,4754.4052,2588.0,142,59659,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,20,5066.1944,2782.0,150,59667,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,21,5383.3985,2990.0,157,59672,60000,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,22,5699.664,3197.5,160,59935,59999,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,23,6029.7402,3417.0,177,59940,59999,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,24,6355.708,3649.0,180,59953,59999,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,25,6678.5785,3887.5,211,59959,59999,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,26,7006.6111,4115.0,230,59989,59999,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,27,7335.6877,4351.0,233,59995,59998,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,28,7668.7314,4592.0,245,59998,59998,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,29,8005.1566,4847.0,255,59999,59997,60000
mnist,euclidean,1.2,robust-prune,-1,60000,60000,30,8342.4755,5093.0,286,60000,59997,59999
mnist,euclidean,1.2,robust-prune,-1,60000,60000,31,8680.9111,5354.0,303,60000,59997,59999
mnist,euclidean,1.2,robust-prune,-1,60000,60000,32,9019.3731,5628.0,355,60000,59997,59999
mnist,euclidean,1.2,robust-prune,-1,60000,60000,33,9367.7856,5897.5,361,60000,59997,59999
mnist,euclidean,1.2,robust-prune,-1,60000,60000,34,9708.3974,6193.0,368,60000,59997,59999
mnist,euclidean,1.2,robust-prune,-1,60000,60000,35,10056.4741,6482.5,380,60000,59996,59999
mnist,euclidean,1.2,robust-prune,-1,60000,60000,36,10407.5476,6777.5,409,60000,59993,59999
mnist,euclidean,1.2,robust-prune,-1,60000,60000,37,10766.1423,7099.0,410,60000,59991,59999
mnist,euclidean,1.2,robust-prune,-1,60000,60000,38,11124.6186,7424.0,426,60000,59989,59999
mnist,euclidean,1.2,robust-prune,-1,60000,60000,39,11476.3247,7734.0,439,60000,59986,59998
mnist,euclidean,1.2,robust-prune,-1,60000,60000,40,11833.9576,8073.0,515,60000,59985,59998
mnist,euclidean,1.2,robust-prune,-1,60000,60000,41,12192.8792,8387.5,517,60000,59982,59998
mnist,euclidean,1.2,robust-prune,-1,60000,60000,42,12558.2384,8728.0,530,60000,59980,59998
mnist,euclidean,1.2,robust-prune,-1,60000,60000,43,12913.1238,9086.0,533,60000,59977,59998
mnist,euclidean,1.2,robust-prune,-1,60000,60000,44,13271.9381,9411.0,539,60000,59975,59998
mnist,euclidean,1.2,robust-prune,-1,60000,60000,45,13630.9413,9761.0,542,60000,59971,59998
mnist,euclidean,1.2,robust-prune,-1,60000,60000,46,13988.3686,10107.0,562,60000,59968,59997
