dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage
spacev1b,euclidean,robust-prune,100,10000,1402020720,1,754912045.5242,753750730.5,24847652,1375932902,10000,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,2,1031619806.2258,1052527977.5,209254535,1393330352,10000,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,3,1163351538.7044,1189573903.5,330060104,1399354135,9990,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,4,1236924726.8333,1262179805.5,528247093,1400445184,9965,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,5,1281742513.9715,1304666933.5,590018495,1401615899,9914,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,6,1310271593.6236,1330785052.5,615442357,1401738715,9812,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,7,1330075329.2533,1348095743.0,684688369,1401805394,9640,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,8,1344109987.9994,1359973237.5,716302150,1401863522,9404,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,9,1354541659.6162,1368504038.0,766034099,1401866413,9092,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,10,1362468565.9584,1374717001.5,792178287,1401916013,8732,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,11,1368599118.8016,1379797256.5,853029839,1402014193,8346,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,12,1373472157.3089,1383529820.0,861822754,1402014327,7923,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,13,1377337139.7798,1386411186.5,863710068,1402014583,7461,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,14,1380502717.4506,1388667893.5,870465132,1402014871,6995,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,15,1383119196.203,1390691043.0,920294661,1402014969,6534,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,16,1385328165.4911,1392135784.0,933856616,1402015244,6106,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,17,1387173535.8407,1393432769.0,966354318,1402015331,5669,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,18,1388734506.965,1394518374.0,987148999,1402015483,5217,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,19,1390052868.2971,1395371765.5,1001990391,1402017472,4836,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,20,1391190032.8284,1396065305.0,1003454733,1402017502,4467,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,21,1392205535.4736,1396702618.0,1023920160,1402017536,4105,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,22,1393080044.85,1397221221.0,1031532144,1402017583,3778,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,23,1393857764.5266,1397734028.5,1071417692,1402017650,3459,10000
spacev1b,euclidean,robust-prune,100,10000,1402020720,24,1394535681.8502,1398128713.5,1075291348,1402017767,3151,10000
