dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered
yandex_deep,euclidean,robust-prune,96,10000,1000000000,1,509599485.8015,511745798.0,2,869283977
yandex_deep,euclidean,robust-prune,96,10000,1000000000,2,725696291.855,737243148.0,3,956843560
yandex_deep,euclidean,robust-prune,96,10000,1000000000,3,829827948.0055,839681633.0,4,991266911
yandex_deep,euclidean,robust-prune,96,10000,1000000000,4,887123699.5345,896487296.0,5,999241057
yandex_deep,euclidean,robust-prune,96,10000,1000000000,5,921308546.3729,930065688.5,6,999667046
yandex_deep,euclidean,robust-prune,96,10000,1000000000,6,943059388.0808,950565596.0,7,999890483
yandex_deep,euclidean,robust-prune,96,10000,1000000000,7,957566320.3334,963700736.5,8,999909994
yandex_deep,euclidean,robust-prune,96,10000,1000000000,8,967556503.8476,972697559.0,9,999928775
yandex_deep,euclidean,robust-prune,96,10000,1000000000,9,974873997.809,979421391.5,10,999987075
yandex_deep,euclidean,robust-prune,96,10000,1000000000,10,980213008.0847,984091104.5,11,999998197
yandex_deep,euclidean,robust-prune,96,10000,1000000000,11,984098397.9764,987519600.5,12,999998871
yandex_deep,euclidean,robust-prune,96,10000,1000000000,12,987153865.1848,990091040.5,13,999999558
yandex_deep,euclidean,robust-prune,96,10000,1000000000,13,989491578.0561,992092584.5,14,999999736
yandex_deep,euclidean,robust-prune,96,10000,1000000000,14,991298479.0312,993635212.0,15,999999812
yandex_deep,euclidean,robust-prune,96,10000,1000000000,15,992751573.8053,994826624.5,16,999999894
yandex_deep,euclidean,robust-prune,96,10000,1000000000,16,993891592.1484,995750884.5,17,999999906
yandex_deep,euclidean,robust-prune,96,10000,1000000000,17,994838256.0148,996504883.5,18,999999970
yandex_deep,euclidean,robust-prune,96,10000,1000000000,18,995628832.8174,997101800.0,19,999999982
yandex_deep,euclidean,robust-prune,96,10000,1000000000,19,996267628.6534,997581848.0,20,999999983
yandex_deep,euclidean,robust-prune,96,10000,1000000000,20,996804964.1107,997981450.5,21,999999986
yandex_deep,euclidean,robust-prune,96,10000,1000000000,21,997239753.5956,998320243.5,22,999999992
yandex_deep,euclidean,robust-prune,96,10000,1000000000,22,997597227.0667,998581923.5,23,999999996
yandex_deep,euclidean,robust-prune,96,10000,1000000000,23,997895109.4838,998794042.5,24,999999998
yandex_deep,euclidean,robust-prune,96,10000,1000000000,24,998151814.7782,998981617.0,25,999999999
yandex_deep,euclidean,robust-prune,96,10000,1000000000,25,998366560.5779,999124898.0,26,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,26,998601911.2712,999252843.0,27,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,27,998778448.1134,999358014.0,28,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,28,998921650.2223,999448020.5,29,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,29,999040847.4525,999521172.0,30,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,30,999144655.2436,999584127.5,31,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,31,999232142.0943,999640313.0,32,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,32,999311450.862,999689121.5,33,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,33,999378582.0527,999729113.5,34,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,34,999435021.7872,999762740.5,35,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,35,999486190.8088,999792915.5,36,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,36,999532288.0422,999819122.0,37,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,37,999572312.2281,999841634.5,38,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,38,999606710.8747,999862204.5,39,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,39,999637853.7832,999877273.0,40,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,40,999664564.2964,999891435.0,41,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,41,999688109.4518,999904508.5,42,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,42,999709476.1367,999916220.5,43,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,43,999728865.8919,999925447.0,44,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,44,999745314.2922,999933898.5,45,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,45,999759668.867,999941647.0,46,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,46,999772842.0881,999947925.0,47,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,47,999784348.8127,999953401.0,48,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,48,999795367.9114,999958532.0,49,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,49,999804717.4371,999963411.0,50,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,50,999814093.8999,999967046.5,51,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,51,999821470.6081,999970834.5,52,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,52,999827996.716,999973673.0,53,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,53,999834303.7553,999976651.5,54,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,54,999839766.8585,999979209.5,55,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,55,999844553.4572,999981213.0,56,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,56,999849199.8941,999983082.0,57,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,57,999853487.469,999984861.0,58,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,58,999857260.0123,999986338.5,59,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,59,999860765.8771,999987759.0,60,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,60,999863810.907,999988982.0,61,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,61,999866659.7439,999990095.5,62,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,62,999869143.2284,999991073.5,63,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,63,999871331.1199,999991957.0,64,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,64,999873499.7934,999992707.0,65,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,65,999875350.6627,999993447.0,66,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,66,999877349.0867,999994067.0,67,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,67,999879094.0634,999994690.5,68,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,68,999880515.1164,999995157.5,69,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,69,999881912.8489,999995596.0,70,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,70,999883240.8156,999996013.0,71,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,71,999884495.5475,999996411.5,72,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,72,999886007.3938,999996735.0,73,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,73,999886975.6926,999997026.5,74,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,74,999887905.9728,999997281.0,75,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,75,999888701.447,999997557.5,76,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,76,999889511.0529,999997788.0,77,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,77,999890210.8614,999997982.0,78,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,78,999890920.6352,999998151.5,79,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,79,999891577.7814,999998320.0,80,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,80,999892217.0071,999998454.0,81,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,81,999892914.1247,999998577.0,82,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,82,999893423.4988,999998713.5,83,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,83,999893947.1466,999998820.0,84,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,84,999894322.709,999998917.0,85,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,85,999894689.5929,999999011.0,86,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,86,999895035.4903,999999098.0,87,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,87,999895336.7403,999999176.5,88,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,88,999895626.4551,999999234.0,89,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,89,999895943.6429,999999303.0,90,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,90,999896188.0709,999999361.0,91,1000000000
