"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,8.51689,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.266,281009,108,161,10,10,1,10
10000,0.3,0.3172,236602,118,174,11,11,1,11
10000,0.4,0.4138,222539,138,202,13,13,1,13
10000,0.5,0.5157,185295,165,235,16,16,1,16
10000,0.6,0.6657,152151,210,394,21,38,1,10
10000,0.7,0.7169,128984,248,454,26,47,1,15
10000,0.75,0.7545,103922,303,549,34,60,1,22
10000,0.8,0.8012,58709.9,544,896,76,118,1,60


