dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.4,10,1,0.4836,199732.0,10.0,10.0,157.0,217.0,10000,0,45.271
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.5,11,1,0.5385,189588.0,11.0,11.0,171.0,235.0,10000,0,45.271
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.6,13,1,0.6187,164258.0,13.0,13.0,197.0,270.0,10000,0,45.271
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.7,17,1,0.7084,132029.0,17.0,17.0,246.0,338.0,10000,0,45.271
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.75,10,1,0.7628,120553.0,18.0,34.0,270.0,498.0,10000,0,45.271
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.8,24,1,0.8022,79509.6,32.0,52.0,411.0,691.0,10000,0,45.271
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.4,10,10,0.46171,193941.0,10.0,10.0,157.0,217.0,10000,0,45.598
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.5,11,10,0.51701,163948.0,11.0,11.0,171.0,235.0,10000,0,45.598
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.6,13,10,0.60496,142945.0,13.0,13.0,197.0,270.0,10000,0,45.598
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.7,18,10,0.72386,116287.0,18.0,18.0,258.0,354.0,10000,0,45.598
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.75,10,10,0.76811,115722.0,18.0,34.0,270.0,498.0,10000,0,45.598
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,0.8,16,10,0.80261,87453.1,24.0,41.0,331.0,577.0,10000,0,45.598
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.2,10,1,0.2151,275710.0,10.0,10.0,103.0,158.0,10000,0,41.846
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.3,13,1,0.3344,219077.0,13.0,13.0,131.0,194.0,10000,0,41.846
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.4,15,1,0.4027,193660.0,15.0,15.0,148.0,217.0,10000,0,41.846
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.5,20,1,0.533,164777.0,20.0,20.0,187.0,270.0,10000,0,41.846
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.6,10,1,0.6123,157025.0,22.0,41.0,203.0,388.0,10000,0,41.846
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.7,20,1,0.7136,111371.0,34.0,63.0,284.0,532.0,10000,0,41.846
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.75,28,1,0.7502,94207.2,43.0,79.0,339.0,624.0,10000,0,41.846
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.8,80,1,0.8021,49924.9,100.0,163.0,621.0,1050.0,10000,0,41.846
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.1,10,10,0.19906,284876.0,10.0,10.0,103.0,158.0,10000,0,39.945
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.2,11,10,0.24111,248287.0,11.0,11.0,113.0,170.0,10000,0,39.945
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.3,13,10,0.32217,227863.0,13.0,13.0,131.0,194.0,10000,0,39.945
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.4,16,10,0.42419,188783.0,16.0,16.0,156.0,229.0,10000,0,39.945
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.5,19,10,0.50383,163095.0,19.0,19.0,179.0,259.0,10000,0,39.945
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.6,10,10,0.60869,148355.0,22.0,41.0,203.0,388.0,10000,0,39.945
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.7,17,10,0.70743,114103.0,31.0,57.0,264.0,499.0,10000,0,39.945
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.75,28,10,0.76824,88381.4,43.0,79.0,339.0,624.0,10000,0,39.945
coco_i2i-512-angular,euclidean,mod-vamana,0.9,1.0,32,64,1164,0.8,45,10,0.80251,70292.8,62.0,109.0,443.0,785.0,10000,0,39.945
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.1,10,1,0.1439,322612.0,10.0,10.0,98.0,148.0,10000,0,41.791
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.2,12,1,0.2133,256838.0,12.0,12.0,118.0,175.0,10000,0,41.791
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.3,15,1,0.3209,212409.0,15.0,15.0,147.0,214.0,10000,0,41.791
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.4,18,1,0.4207,183133.0,18.0,18.0,173.0,249.0,10000,0,41.791
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.5,22,1,0.5221,149036.0,22.0,22.0,206.0,293.0,10000,0,41.791
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.6,10,1,0.6252,133538.0,24.0,45.0,228.0,455.0,10000,0,41.791
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.7,17,1,0.7123,108117.0,33.0,61.0,293.0,571.0,10000,0,41.791
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.75,26,1,0.7539,87895.1,44.0,78.0,357.0,679.0,10000,0,41.791
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.8,70,1,0.8,53708.3,90.0,142.0,585.0,992.0,10000,0,41.791
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.1,10,10,0.13246,289168.0,10.0,10.0,98.0,148.0,10000,0,40.197
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.2,13,10,0.23643,230835.0,13.0,13.0,128.0,188.0,10000,0,40.197
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.3,15,10,0.30576,199812.0,15.0,15.0,147.0,214.0,10000,0,40.197
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.4,18,10,0.40404,171204.0,18.0,18.0,173.0,249.0,10000,0,40.197
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.5,23,10,0.53478,143353.0,23.0,23.0,213.0,304.0,10000,0,40.197
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.6,10,10,0.61952,135433.0,24.0,45.0,228.0,455.0,10000,0,40.197
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.7,16,10,0.7036,111307.0,31.0,56.0,276.0,537.0,10000,0,40.197
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.75,22,10,0.75162,94200.1,38.0,69.0,325.0,621.0,10000,0,40.197
coco_i2i-512-angular,euclidean,mod-vamana,0.91,1.0,32,64,1164,0.8,40,10,0.80215,70619.0,56.0,96.0,417.0,741.0,10000,0,40.197
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.1,10,1,0.1743,284633.0,10.0,10.0,101.0,154.0,10000,0,42.807
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.2,11,1,0.2186,255905.0,11.0,11.0,112.0,168.0,10000,0,42.807
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.3,13,1,0.3105,215054.0,13.0,13.0,132.0,195.0,10000,0,42.807
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.4,16,1,0.4352,178920.0,16.0,16.0,160.0,231.0,10000,0,42.807
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.5,19,1,0.5253,153149.0,19.0,19.0,185.0,266.0,10000,0,42.807
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.6,10,1,0.6576,145406.0,23.0,41.0,221.0,418.0,10000,0,42.807
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.7,14,1,0.7023,127235.0,27.0,48.0,252.0,463.0,10000,0,42.807
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.75,24,1,0.7548,98808.4,38.0,66.0,323.0,575.0,10000,0,42.807
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.8,70,1,0.8017,52884.0,89.0,138.0,594.0,968.0,10000,0,42.807
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.1,10,10,0.16185,256825.0,10.0,10.0,101.0,154.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.2,11,10,0.20558,239137.0,11.0,11.0,112.0,168.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.3,14,10,0.33563,191300.0,14.0,14.0,141.0,207.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.4,16,10,0.41636,169655.0,16.0,16.0,160.0,231.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.5,19,10,0.51174,147621.0,19.0,19.0,185.0,266.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.6,11,10,0.6695,132733.0,24.0,43.0,229.0,429.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.7,15,10,0.71652,118342.0,28.0,50.0,258.0,472.0,10000,0,41.218
