dataset,metric,method,gamma,alpha,R,L,S,dimensions,estimated coverage,coverage sample,sources,total points,sweep,coverage,edges,mean out degree,median out degree,min out degree,max out degree,median in degree,min in degree,max in degree,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage,build time (s),build wall (s),adjlist wall (s),graph min coverage,graph max coverage,graph avg out degree,graph median out degree,graph max out degree,graph total edges
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,90.0,,4.383,4.0,1,32,4.0,1,417,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,90.5,,4.5,4.0,1,32,4.0,1,437,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,91.0,,4.626,4.0,1,32,4.0,1,463,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,91.5,,4.758,4.0,1,32,4.0,1,492,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,92.0,,4.877,4.0,1,32,4.0,1,515,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,92.5,,5.029,4.0,1,32,4.0,1,533,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,93.0,,5.195,4.0,1,32,5.0,1,566,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,93.5,,5.375,5.0,1,32,5.0,1,597,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,94.0,,5.573,5.0,1,32,5.0,1,654,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
coco_i2i-512-angular,euclidean,vamana,,1.0,32,64,,512,1,1164,113287,113287,coverage_to_degree,94.5,,5.751,5.0,1,32,5.0,1,695,,,,,,,0.0,0.0,0.0,0.0,100.0,14.7505,14.0,32,1671039
