"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,5.845,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.2845,197531,98,149,10,10,1,10
10000,0.3,0.3467,181610,108,161,11,11,1,11
10000,0.4,0.4114,152957,116,172,12,12,1,12
10000,0.5,0.5797,143767,139,204,15,15,1,15
10000,0.6,0.6296,130427,146,215,16,16,1,16
10000,0.7,0.7059,118694,159,233,18,18,1,18
10000,0.75,0.7671,110051,171,251,20,20,1,20
10000,0.8,0.8102,106307,182,271,22,22,1,22
10000,0.85,0.8712,102420,193,354,23,40,1,12
10000,0.9,0.9256,86647.6,221,360,29,47,1,19
10000,0.93,0.9353,88525.3,234,382,32,51,1,22
10000,0.95,0.9535,72732.6,265,427,39,58,1,28
10000,0.97,0.9713,56687.7,344,536,57,77,1,45
10000,0.98,0.9809,47257.9,432,661,79,100,1,65
10000,0.99,0.9901,27580.1,640,976,139,160,1,120
10000,0.995,0.995,17324.8,1069,1603,282,310,1,250


