"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,10.6739,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.7,0.7125,130205,146,198,10,10,1,10
10000,0.75,0.774,120340,157,213,11,11,1,11
10000,0.8,0.8232,115499,167,228,12,12,1,12
10000,0.85,0.8559,111901,177,241,13,13,1,13
10000,0.9,0.9001,97281,196,269,15,15,1,15
10000,0.93,0.9379,88225.4,221,306,18,18,1,18
10000,0.95,0.9545,87657,231,371,19,30,1,12
10000,0.97,0.9709,72557.4,279,435,25,37,1,18
10000,0.98,0.9811,62364,336,514,34,46,1,26
10000,0.99,0.99,44456.9,456,688,54,66,1,45
10000,0.995,0.9955,26616.6,748,1122,114,129,1,100
10000,0.999,0.999,6667.52,2872,4173,812,855,1,750


