"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,11.4637,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.5,0.5327,134167,140,191,10,10,1,10
10000,0.6,0.6319,126918,153,207,11,11,1,11
10000,0.7,0.7147,125571,165,221,12,12,1,12
10000,0.75,0.7802,109179,176,236,13,13,1,13
10000,0.8,0.8263,104940,187,250,14,14,1,14
10000,0.85,0.8642,95568.5,197,264,15,15,1,15
10000,0.9,0.9075,90178.6,216,291,17,17,1,17
10000,0.93,0.9447,86119.3,243,329,20,20,1,20
10000,0.95,0.9509,81679.3,252,340,21,21,1,21
10000,0.97,0.9726,69445.4,294,442,26,37,1,17
10000,0.98,0.9801,56578,329,488,31,42,1,22
10000,0.99,0.9902,45377.4,439,644,48,59,1,38
10000,0.995,0.9953,28577.4,680,1000,92,104,1,80
10000,0.999,0.999,8340.78,2245,3270,544,577,1,500


