dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.5,10,1,0.5327,134167.0,10.0,10.0,140.0,191.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.6,11,1,0.6319,126918.0,11.0,11.0,153.0,207.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.7,12,1,0.7147,125571.0,12.0,12.0,165.0,221.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.75,13,1,0.7802,109179.0,13.0,13.0,176.0,236.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.8,14,1,0.8263,104940.0,14.0,14.0,187.0,250.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.85,15,1,0.8642,95568.5,15.0,15.0,197.0,264.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.9,17,1,0.9075,90178.6,17.0,17.0,216.0,291.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.93,20,1,0.9447,86119.3,20.0,20.0,243.0,329.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.95,21,1,0.9509,81679.3,21.0,21.0,252.0,340.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.97,17,1,0.9726,69445.4,26.0,37.0,294.0,442.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.98,22,1,0.9801,56578.0,31.0,42.0,329.0,488.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.99,38,1,0.9902,45377.4,48.0,59.0,439.0,644.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.995,80,1,0.9953,28577.4,92.0,104.0,680.0,1000.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.999,500,1,0.999,8340.78,544.0,577.0,2245.0,3270.0,10000,0,64.247
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.4,10,10,0.47181,136689.0,10.0,10.0,140.0,191.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.5,11,10,0.56794,127740.0,11.0,11.0,153.0,207.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.6,12,10,0.65107,115910.0,12.0,12.0,165.0,221.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.7,13,10,0.71936,109647.0,13.0,13.0,176.0,236.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.75,14,10,0.77353,100713.0,14.0,14.0,187.0,250.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.8,15,10,0.81663,96521.4,15.0,15.0,197.0,264.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.85,17,10,0.8751,88806.0,17.0,17.0,216.0,291.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.9,19,10,0.91111,79610.2,19.0,19.0,234.0,317.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.93,21,10,0.93407,74995.1,21.0,21.0,252.0,340.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.95,24,10,0.95454,69450.7,24.0,24.0,276.0,376.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.97,18,10,0.97028,67479.6,27.0,38.0,301.0,450.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.98,26,10,0.9834,56775.6,36.0,46.0,360.0,533.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.99,36,10,0.99035,48672.2,46.0,57.0,427.0,626.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.995,60,10,0.99538,34235.4,71.0,82.0,573.0,842.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.999,225,10,0.99909,14698.2,248.0,268.0,1322.0,1946.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.9995,500,10,0.99957,8631.47,544.0,577.0,2245.0,3270.0,10000,0,61.419
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.2,10,1,0.2048,233787.0,10.0,10.0,82.0,133.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.3,12,1,0.3219,191964.0,12.0,12.0,99.0,154.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.4,14,1,0.4349,160937.0,14.0,14.0,114.0,176.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.5,17,1,0.5731,141882.0,17.0,17.0,134.0,205.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.6,19,1,0.65,138143.0,19.0,19.0,146.0,221.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.7,21,1,0.7124,124225.0,21.0,21.0,157.0,237.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.75,23,1,0.7631,115764.0,23.0,23.0,168.0,253.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.8,12,1,0.8398,114760.0,25.0,42.0,178.0,304.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.85,14,1,0.8625,108820.0,27.0,44.0,188.0,315.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.9,19,1,0.9025,94412.7,33.0,53.0,217.0,364.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.93,26,1,0.9346,79939.9,41.0,62.0,251.0,413.0,10000,0,58.439
