dataset,metric,method,gamma,alpha,R,L,S,dimensions,estimated coverage,coverage sample,sources,total points,sweep,coverage,edges,mean out degree,median out degree,min out degree,max out degree,median in degree,min in degree,max in degree,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage,build time (s),build wall (s),adjlist wall (s),graph min coverage,graph max coverage,graph avg out degree,graph median out degree,graph max out degree,graph total edges
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,90.0,,2.923,2.0,1,24,3.0,1,250,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,90.5,,2.974,2.0,1,24,3.0,1,257,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,91.0,,3.017,2.0,1,27,3.0,1,264,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,91.5,,3.072,2.0,1,27,3.0,1,276,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,92.0,,3.121,3.0,1,27,3.0,1,287,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,92.5,,3.183,3.0,1,27,3.0,1,307,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,93.0,,3.24,3.0,1,30,3.0,1,316,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,93.5,,3.312,3.0,1,30,3.0,1,332,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,94.0,,3.378,3.0,1,30,3.0,1,346,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
fashion_mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,94.5,,3.462,3.0,1,30,3.0,1,362,,,,,,,0.0,0.0,0.0,22.615,100.0,11.4637,10.0,32,687823
