dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.2,10,1,0.281,1635320.0,10.0,10.0,194.0,256.0,10000,0,5.287
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.3,11,1,0.3242,1519530.0,11.0,11.0,212.0,279.0,10000,0,5.287
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.4,14,1,0.4289,1227750.0,14.0,14.0,264.0,349.0,10000,0,5.287
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.5,11,1,0.5707,992063.0,21.0,36.0,382.0,658.0,10000,0,5.287
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.6,15,1,0.602,833264.0,25.0,42.0,445.0,754.0,10000,0,5.287
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.7,120,1,0.7034,178888.0,138.0,181.0,1913.0,2855.0,10000,0,5.287
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.2,10,10,0.25379,1589320.0,10.0,10.0,194.0,256.0,10000,0,5.783
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.3,12,10,0.34091,1364260.0,12.0,12.0,229.0,303.0,10000,0,5.783
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.4,14,10,0.41031,1200480.0,14.0,14.0,264.0,349.0,10000,0,5.783
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.5,18,10,0.50042,950299.0,18.0,18.0,330.0,442.0,10000,0,5.783
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.6,16,10,0.60274,769704.0,26.0,44.0,460.0,777.0,10000,0,5.783
glove25-25-angular,euclidean,vamana,,1.0,32,64,,0.7,60,10,0.70363,306890.0,74.0,110.0,1123.0,1742.0,10000,0,5.783
glove25-25-angular,euclidean,mod-vamana,0.9,1.0,32,64,1399,0.1,14,1,0.1048,1677290.0,14.0,14.0,151.0,221.0,10000,0,4.875
glove25-25-angular,euclidean,mod-vamana,0.9,1.0,32,64,1399,0.2,21,1,0.2056,1193890.0,21.0,21.0,207.0,303.0,10000,0,4.875
glove25-25-angular,euclidean,mod-vamana,0.9,1.0,32,64,1399,0.3,11,1,0.3019,1106930.0,26.0,50.0,251.0,481.0,10000,0,4.875
glove25-25-angular,euclidean,mod-vamana,0.9,1.0,32,64,1399,0.4,20,1,0.4042,731154.0,41.0,75.0,351.0,664.0,10000,0,4.875
glove25-25-angular,euclidean,mod-vamana,0.9,1.0,32,64,1399,0.5,45,1,0.5069,444405.0,74.0,134.0,566.0,1029.0,10000,0,4.875
glove25-25-angular,euclidean,mod-vamana,0.9,1.0,32,64,1399,0.6,140,1,0.6048,175670.0,190.0,333.0,1239.0,2121.0,10000,0,4.875
glove25-25-angular,euclidean,mod-vamana,0.9,1.0,32,64,1399,0.1,15,10,0.10882,1473400.0,15.0,15.0,159.0,234.0,10000,0,5.445
glove25-25-angular,euclidean,mod-vamana,0.9,1.0,32,64,1399,0.2,22,10,0.20438,1064170.0,22.0,22.0,215.0,313.0,10000,0,5.445
glove25-25-angular,euclidean,mod-vamana,0.9,1.0,32,64,1399,0.3,13,10,0.31081,940292.0,29.0,56.0,273.0,527.0,10000,0,5.445
