dataset,metric,method,gamma,alpha,R,L,S,dimensions,estimated coverage,coverage sample,sources,total points,sweep,coverage,edges,mean out degree,median out degree,min out degree,max out degree,median in degree,min in degree,max in degree,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage,build time (s),build wall (s),adjlist wall (s),graph min coverage,graph max coverage,graph avg out degree,graph median out degree,graph max out degree,graph total edges
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,90.0,,2.621,2.0,1,29,3.0,1,47,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,90.5,,2.677,2.0,1,29,3.0,1,47,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,91.0,,2.738,2.0,1,29,3.0,1,47,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,91.5,,2.804,2.0,1,29,3.0,1,50,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,92.0,,2.875,2.0,1,29,3.0,1,55,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,92.5,,2.952,3.0,1,29,3.0,1,58,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,93.0,,3.037,3.0,1,29,3.0,1,63,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,93.5,,3.13,3.0,1,29,3.0,1,67,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,94.0,,3.234,3.0,1,30,3.0,1,77,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
glove25-25-angular,euclidean,vamana,,1.0,32,64,,25,1,1399,1183514,1183514,coverage_to_degree,94.5,,3.35,3.0,1,30,3.0,1,83,,,,,,,0.0,0.0,0.0,31.308,100.0,14.5729,13.0,32,17247191
