"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,9.38757,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.3,0.3912,143594,105,158,10,10,10,10
10000,0.4,0.45688,128652,114,170,11,11,10,11
10000,0.5,0.51708,120541,122,181,12,12,10,12
10000,0.6,0.61592,110809,138,201,14,14,10,14
10000,0.7,0.72202,93662.8,160,232,17,17,10,17
10000,0.75,0.7712,89599.3,174,249,19,19,10,19
10000,0.8,0.83147,91685.9,185,326,20,35,10,11
10000,0.85,0.85737,87844.1,198,348,22,39,10,13
10000,0.9,0.90106,69754.9,227,398,27,46,10,17
10000,0.93,0.9361,60343.1,265,450,34,55,10,24
10000,0.95,0.95491,56611.4,301,515,40,65,10,30
10000,0.97,0.97106,46559.3,355,602,50,79,10,40
10000,0.98,0.98118,39194.5,416,690,62,93,10,50
10000,0.99,0.99061,29218,560,880,93,124,10,80
10000,0.995,0.99519,22075.1,741,1158,137,167,10,120
10000,0.999,0.9992,7411.78,2109,3370,546,592,10,500
10000,0.9995,0.99958,4305.13,3584,5650,1083,1160,10,1000


