"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,15.0093,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.6,0.6953,112375,147,206,10,10,1,10
10000,0.7,0.7489,104286,159,221,11,11,1,11
10000,0.75,0.7932,100893,170,236,12,12,1,12
10000,0.8,0.8268,91428.6,181,249,13,13,1,13
10000,0.85,0.8558,88512.8,192,262,14,14,1,14
10000,0.9,0.9137,84519.4,222,303,17,17,1,17
10000,0.93,0.9456,75045.2,228,390,17,31,1,10
10000,0.95,0.9531,70812,237,403,18,32,1,11
10000,0.97,0.9739,63540.5,281,463,23,39,1,16
10000,0.98,0.9804,55526.6,310,505,26,44,1,19
10000,0.99,0.9909,46007.7,399,633,37,58,1,30
10000,0.995,0.9952,36606.6,510,793,53,74,1,45
10000,0.999,0.9992,20744.3,860,1324,112,134,1,100
10000,0.9995,0.9995,16663.2,1078,1671,154,177,1,140
10000,0.9999,0.9999,7797.94,2147,3462,405,441,1,375
10000,0.99999,1,6296.47,2643,4297,539,580,1,500


