"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,15.2732,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.6,0.62376,136329,146,202,10,10,10,10
10000,0.7,0.73022,119084,170,231,12,12,10,12
10000,0.75,0.77055,109039,181,245,13,13,10,13
10000,0.8,0.80392,90759.8,192,258,14,14,10,14
10000,0.85,0.85438,94686.2,213,286,16,16,10,16
10000,0.9,0.9225,85644.3,238,408,18,32,10,11
10000,0.93,0.94005,72584.2,256,433,20,35,10,13
10000,0.95,0.95662,72878.3,283,470,23,39,10,16
10000,0.97,0.97531,56552.8,337,543,29,48,10,22
10000,0.98,0.98425,46328.9,388,627,35,56,10,28
10000,0.99,0.99145,39090.1,477,737,48,68,10,40
10000,0.995,0.99554,31413,583,878,64,85,10,55
10000,0.999,0.9992,15504.2,1190,1844,176,200,10,160
10000,0.9995,0.99953,9578.76,1845,2951,325,356,10,300


