dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.6,10,1,0.6969,127848.0,10.0,10.0,146.0,202.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.75,11,1,0.7505,131019.0,11.0,11.0,158.0,216.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.8,13,1,0.8299,104045.0,13.0,13.0,181.0,245.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.85,14,1,0.8584,98653.4,14.0,14.0,192.0,258.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.9,17,1,0.9118,84628.1,17.0,17.0,223.0,299.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.93,19,1,0.9356,79036.4,19.0,19.0,242.0,325.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.95,11,1,0.9555,75417.6,18.0,32.0,238.0,408.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.97,28,1,0.974,64957.4,28.0,28.0,322.0,435.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.98,20,1,0.9823,60481.1,27.0,45.0,321.0,525.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.99,34,1,0.9927,41844.2,42.0,64.0,435.0,686.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.995,45,1,0.9953,32147.7,53.0,74.0,515.0,792.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.999,100,1,0.9992,21925.7,112.0,135.0,867.0,1336.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.9995,140,1,0.9995,17738.0,155.0,177.0,1086.0,1680.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.99999,375,1,1.0,7629.18,406.0,439.0,2162.0,3492.0,10000,0,73.959
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.6,10,10,0.62376,136329.0,10.0,10.0,146.0,202.0,10000,0,68.895
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.7,12,10,0.73022,119084.0,12.0,12.0,170.0,231.0,10000,0,68.895
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,0.75,13,10,0.77055,109039.0,13.0,13.0,181.0,245.0,10000,0,68.895
