dataset,metric,method,gamma,alpha,R,L,S,dimensions,estimated coverage,coverage sample,sources,total points,sweep,coverage,edges,mean out degree,median out degree,min out degree,max out degree,median in degree,min in degree,max in degree,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage,build time (s),build wall (s),adjlist wall (s),graph min coverage,graph max coverage,graph avg out degree,graph median out degree,graph max out degree,graph total edges
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,90.0,,3.878,3.0,1,21,4.0,1,105,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,90.5,,3.976,4.0,1,22,4.0,1,110,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,91.0,,4.064,4.0,1,23,4.0,1,118,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,91.5,,4.175,4.0,1,25,4.0,1,125,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,92.0,,4.276,4.0,1,25,4.0,1,134,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,92.5,,4.407,4.0,1,25,4.0,1,142,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,93.0,,4.525,4.0,1,25,4.0,1,150,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,93.5,,4.678,4.0,1,25,4.0,1,159,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,94.0,,4.817,4.0,1,26,5.0,1,166,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,94.5,,5.002,5.0,1,26,5.0,1,181,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,95.0,,5.172,5.0,1,26,5.0,1,201,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,95.5,,5.405,5.0,1,28,5.0,1,228,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,96.0,,5.625,5.0,1,29,5.0,1,240,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,96.5,,5.924,5.0,1,29,6.0,1,258,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,97.0,,6.22,6.0,1,29,6.0,1,279,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,97.5,,6.647,6.0,1,30,6.0,1,309,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,98.0,,7.088,7.0,1,30,7.0,1,347,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,98.5,,7.779,7.0,1,32,7.0,1,400,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
mnist-784-euclidean,euclidean,vamana,,1.0,32,64,,784,1,1101,60000,60000,coverage_to_degree,99.0,,8.579,8.0,1,32,8.0,1,458,,,,,,,0.0,0.0,0.0,40.4183,100.0,15.2732,14.0,32,916390
