,dataset,metric,dimensions,points computed,total points,mean out degree,mean in degree,median out degree,median in degree,min out degree,max out degree
0,coco_i2i,euclidean,512,113287,113287,28.588611226354303,20.701297539149888,27.0,18.0,2,131
1,coco_i2i,angular,512,113287,113287,27.79089392428081,21.795108409713954,26.0,19.0,1,170
2,lastfm,euclidean,64,47,292385,36051.914893617024,8.123304089361906,9911.0,5.0,11,89007
3,coco_t2i,euclidean,512,113287,113287,28.588611226354303,20.701297539149888,27.0,18.0,2,131
4,fashion_mnist,euclidean,784,60000,60000,13.55145,9.973835283727093,12.0,9.0,1,108
5,mnist,euclidean,784,60000,60000,19.637516666666667,14.52890982403788,19.0,13.0,2,67
6,glove25,angular,25,1033326,1183514,47.26876706866952,31.003510139415376,47.0,30.0,10,103
7,lastfm,angular,64,292385,292385,66.60667612907639,49.178646013520165,34.0,18.0,1,3422
8,deep_image,angular,96,34561,9990000,75.3821648679147,1.1880965204182192,73.0,1.0,13,251
9,sift,euclidean,128,925966,1000000,37.88290282796561,26.759275999459906,35.0,26.0,5,287
10,coco_t2i,angular,512,113287,113287,27.79089392428081,21.795108409713954,26.0,19.0,1,170
11,nytimes,euclidean,256,8017,290000,139.05625545715355,5.317931814170479,6.0,6.0,1,135612
12,nytimes,angular,256,80047,290000,671.3962796856847,159.1628847782694,431.0,115.0,293,289999
